,codigoSitio,NombreSitio,NombreProyecto,Region,Vendor,EstadoIM,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,fecha
180,CPU308,Los Dos Chinos 2,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-09-30 15:07:26,2021-09-30 15:07:27,2021-10-05 15:44:07,2021-10-05 15:47:18,30/09/2021
181,CPU308,Los Dos Chinos 2,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-09-30 15:07:26,2021-09-30 15:07:27,2021-10-05 15:44:07,2021-10-05 15:47:18,30/09/2021
182,CPU025,8 De Octubre,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-09-29 14:22:52,2021-09-29 14:22:52,2021-09-30 09:43:55,2021-10-05 15:47:18,29/09/2021
183,CPU025,8 De Octubre,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-09-29 14:22:52,2021-09-29 14:22:52,2021-09-30 09:43:55,2021-10-05 15:47:18,29/09/2021
188,CPU475,Almagro Don Bosco,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-10-01 10:23:40,2021-10-01 10:23:40,2021-10-05 15:44:07,2021-10-05 15:47:18,01/10/2021
189,CPU475,Almagro Don Bosco,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-10-01 10:23:40,2021-10-01 10:23:40,2021-10-05 15:44:07,2021-10-05 15:47:18,01/10/2021
194,CPU464,Artes Graficas Rioplatenses,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-09-30 17:07:46,2021-09-30 17:07:46,2021-10-05 15:44:07,2021-10-05 15:47:18,30/09/2021
195,CPU464,Artes Graficas Rioplatenses,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-09-30 17:07:46,2021-09-30 17:07:46,2021-10-05 15:44:07,2021-10-05 15:47:18,30/09/2021
198,CPU494,Alberdi Este,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-10-01 10:23:40,2021-10-01 10:23:40,2021-10-05 15:44:07,2021-10-05 15:47:18,01/10/2021
199,CPU494,Alberdi Este,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-10-01 10:23:40,2021-10-01 10:23:40,2021-10-05 15:44:07,2021-10-05 15:47:18,01/10/2021
200,CPU070,Alcorta,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-09-29 16:36:52,2021-09-29 16:36:52,2021-09-30 09:43:55,2021-10-05 15:47:18,29/09/2021
201,CPU070,Alcorta,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:18,,2021-09-29 16:36:52,2021-09-29 16:36:52,2021-09-30 09:43:55,2021-10-05 15:47:18,29/09/2021
202,CPU177,Alberdi,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:19,,2021-09-30 11:21:40,2021-09-30 11:21:40,2021-10-05 15:44:07,2021-10-05 15:47:19,30/09/2021
203,CPU177,Alberdi,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:19,,2021-09-30 11:21:40,2021-09-30 11:21:40,2021-10-05 15:44:07,2021-10-05 15:47:19,30/09/2021
204,CPU263,Almagro,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:19,,2021-09-30 14:20:35,2021-09-30 14:20:35,2021-10-05 15:44:07,2021-10-05 15:47:19,30/09/2021
205,CPU263,Almagro,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:19,,2021-09-30 14:20:35,2021-09-30 14:20:35,2021-10-05 15:44:07,2021-10-05 15:47:19,30/09/2021
208,CPU400,Alsina,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:19,,2021-09-30 16:50:23,2021-09-30 16:50:23,2021-10-05 15:44:08,2021-10-05 15:47:19,30/09/2021
209,CPU400,Alsina,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:19,,2021-09-30 16:50:23,2021-09-30 16:50:23,2021-10-05 15:44:08,2021-10-05 15:47:19,30/09/2021
210,CPU820,Alvear Palace Hotel,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:19,,2021-10-01 17:04:13,2021-10-01 17:04:13,2021-10-05 15:44:08,2021-10-05 15:47:19,01/10/2021
211,CPU820,Alvear Palace Hotel,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:19,,2021-10-01 17:04:13,2021-10-01 17:04:13,2021-10-05 15:44:08,2021-10-05 15:47:19,01/10/2021
212,CPU131,Ambrosetti,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:19,,2021-09-30 10:07:13,2021-09-30 10:07:13,2021-10-05 15:44:08,2021-10-05 15:47:19,30/09/2021
213,CPU131,Ambrosetti,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:19,,2021-09-30 10:07:13,2021-09-30 10:07:13,2021-10-05 15:44:08,2021-10-05 15:47:19,30/09/2021
214,CPU027,Amia,NB_IOT,AMBA,Huawei,OA,2021-10-05 15:47:19,,2021-09-29 14:22:52,2021-09-29 14:22:52,2021-09-30 09:43:55,2021-10-05 15:47:19,29/09/2021
