intervencionId|codigoSitio|NombreProyecto|ICD|DESCRIPCION|estadoSigo|Vendor|EstadoIM|subEstado|FechaEstadoIM|fechaRFISIM|fechaRFASIM|fechaRFTSIM|fechaOASIM|TT|status|schedstart|schedfinish|actstart|actfinish|check_icd
23952|A03-S014|4T4R||/4T4R puro PO2021 Cap Restringida Cosquin A03-S014 |OA|Huawei|OA|OA Completado|2021-05-31 16:13:12|2021-05-17 17:37:08|2021-05-17 17:38:33|2021-05-17 17:39:19|2021-05-31 16:13:12|4002305|CLOSE|2021-05-07 08:00:00|2021-05-21 20:00:00|2021-05-12 10:52:00|2021-05-15 09:22:00|False
23955|A03-S616|4T4R||/4T4R puro PO2021 Cap Restringida Carlos Paz Nextel A03-S616 |OA|Huawei|OA|OA Completado|2021-05-14 14:39:53|2021-05-11 11:12:17|2021-05-11 11:13:42|2021-05-11 11:14:27|2021-05-14 14:39:53|4002328|CLOSE|2021-05-03 08:00:00|2021-05-14 20:00:00|2021-05-07 12:23:00|2021-06-03 18:06:00|False
23962|A11-S124|4T4R||/Modernization 4T4R Tucumán Judiciales A11-S124 |OA|Huawei|OA|OA Completado|2021-05-21 17:42:58|2021-05-19 10:37:37|2021-05-21 17:41:15|2021-05-21 17:42:04|2021-05-21 17:42:58|4304945|CLOSE|2021-05-10 08:00:00|2021-05-21 18:00:00|2021-05-10 08:22:00|2021-06-03 20:46:00|False
23964|A11-S162|4T4R|5698433|/Activaciones L850/L1900 |OA|Huawei|OA|OA Completado|2021-09-30 10:15:16|2021-08-26 01:48:21|2021-08-26 01:50:37|2021-09-30 10:14:30|2021-09-30 10:15:16|6174990|CLOSE|2021-09-27 11:30:00|2021-09-30 20:00:00|2021-09-28 11:05:00|2021-09-28 17:56:00|False
23968|A11-S288|4T4R||/Modernization 4T4R Ingenio La Florida A11-S288 |OA|Huawei|OA|OA Completado|2021-05-20 10:50:56|2021-05-20 10:47:05|2021-05-20 10:49:29|2021-05-20 10:50:20|2021-05-20 10:50:56|4304936|CLOSE|2021-05-10 08:00:00|2021-05-21 18:00:00|2021-05-10 08:22:00|2021-05-15 09:22:00|False
23969|A11-S374|4T4R||/Instalacionbaterias A11-S374 Tuc El Corte Alderetes |OA|Huawei|OA|OA Completado|2021-05-31 15:38:18|2021-05-26 13:55:53|2021-05-26 13:57:08|2021-05-26 13:58:00|2021-05-31 15:38:18|4402021|CLOSE|2021-05-17 08:00:00|2021-05-28 18:00:00|2021-05-21 18:22:00|2021-06-03 18:15:00|False
23976|A12-S065|4T4R|5078743|/Resintonía Cluster Santiago del Estero |OA|Huawei|OA|OA Completado|2021-08-31 16:29:05|2021-07-16 18:14:23|2021-07-16 18:15:37|2021-08-31 16:28:29|2021-08-31 16:29:05|5122801|CLOSE|2021-07-07 22:00:00|2021-07-08 06:00:00|2021-07-07 22:36:00|2021-07-12 14:37:00|False
23972|A11-S521|4T4R|5965152|/Instalacion baterias A11-S521 El Colmenar 3 |OA|Huawei|OA|OA Completado|2021-05-27 15:10:57|2021-05-20 16:58:22|2021-05-20 16:59:35|2021-05-20 17:00:33|2021-05-27 15:10:57|4402039|CLOSE|2021-05-17 08:00:00|2021-05-21 18:00:00|2021-05-20 14:52:00|2021-05-20 18:22:00|False
23974|A11-S572|4T4R||/A11-S572 TUC B SAN FELIPE |OA|Huawei|OA|OA Completado|2021-06-14 08:27:28|2021-06-08 19:13:08|2021-06-08 19:14:10|2021-06-08 19:15:02|2021-06-14 08:27:28|3246573|CLOSE|2021-02-22 12:30:00|2021-02-26 18:00:00|2021-06-03 18:19:00|2021-09-09 11:01:00|False
23976|A12-S065|4T4R|5078743|/MEDI_A12-S065_4T4R_Modernization A12-S065 Monte Quemado Centro |OA|Huawei|OA|OA Completado|2021-08-31 16:29:05|2021-07-16 18:14:23|2021-07-16 18:15:37|2021-08-31 16:28:29|2021-08-31 16:29:05|5078743|CLOSE|2021-07-02 18:30:00|2021-07-16 18:00:00|2021-07-02 18:35:00|2021-08-31 16:47:00|True
23976|A12-S065|4T4R|5078743|/Vuelco: Enlace Reyes - Purmamarca / Quimilí - Tintina :: Vuelcos Servicios Moviles |OA|Huawei|OA|OA Completado|2021-08-31 16:29:05|2021-07-16 18:14:23|2021-07-16 18:15:37|2021-08-31 16:28:29|2021-08-31 16:29:05|5187178|CLOSE|2021-07-12 11:00:00|2021-07-12 18:00:00|2021-07-12 12:07:00|2021-07-14 09:25:00|False
23976|A12-S065|4T4R|5078743|/ACTIVACION LTE850/1900 (MEDI) |OA|Huawei|OA|OA Completado|2021-08-31 16:29:05|2021-07-16 18:14:23|2021-07-16 18:15:37|2021-08-31 16:28:29|2021-08-31 16:29:05|5644755|CLOSE|2021-08-19 10:30:00|2021-08-19 20:00:00|2021-08-19 17:03:00|2021-08-19 18:02:00|False
