intervencionId|codigoSitio|NombreProyecto|ICD|DESCRIPCION|estadoSigo|Vendor|EstadoIM|subEstado|FechaEstadoIM|fechaRFISIM|fechaRFASIM|fechaRFTSIM|fechaOASIM|TT|status|schedstart|schedfinish|actstart|actfinish|check_icd
128|A02-S056|ActivacionLTE1900||/A02-S056 Villa Nueva - Adec.RFM PO2021 Cap Restringida |OA|Huawei|OA|Finalizado|2021-09-30 00:00:00|2021-09-22 15:13:25|2021-09-22 15:13:59|2021-09-24 10:00:27|2021-09-30 00:00:00|5894113|CLOSE|2021-09-09 08:00:00|2021-09-17 20:00:00|2021-09-09 14:40:00|2021-09-10 22:11:00|False
19407|A03-S083|ActivacionLTE1900||/A03-S083 Los Cocos - Adec.RFM PO2021 Cap Restringida |OA|Huawei|OA|OA Completado|2021-07-20 17:48:17|2021-07-19 19:27:06|2021-07-20 17:47:16|2021-07-20 17:47:44|2021-07-20 17:48:17|5194818|CLOSE|2021-07-13 08:00:00|2021-07-19 20:00:00|2021-07-13 09:38:00|2021-07-14 17:37:00|False
21858|A22-S028|ActivacionLTE1900||/A22-S028 |OA|Nokia|OA|OA Completado|2021-02-05 17:05:52|2021-01-20 12:06:01|2021-01-20 12:09:09|2021-02-04 15:22:43|2021-02-05 17:05:52|2642232|CLOSE|2021-01-12 07:00:00|2021-01-12 20:00:00|2021-01-19 13:23:00|2021-02-04 15:38:00|False
21861|A17-S060|ActivacionLTE1900||/A17-S060	Laguna Limpia	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-09-21 15:43:43|2021-09-16 16:58:28|2021-09-21 15:41:23|2021-09-21 15:42:17|2021-09-21 15:43:43|5978441|CLOSE|2021-09-16 08:00:00|2021-09-16 20:00:00|2021-09-16 08:12:00|2021-09-16 19:42:00|False
21863|A07-S201|ActivacionLTE1900||/A07-S201	Empalme San Carlos	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-02-10 13:41:45|2021-02-03 20:33:53|2021-02-03 20:34:40|2021-02-04 12:09:15|2021-02-10 13:41:45|3007900|CLOSE|2021-02-03 08:26:00|2021-02-03 18:00:00|2021-02-03 08:33:00|2021-02-10 13:58:00|False
21865|A22-S046|ActivacionLTE1900||/A22-S046 POZO DEL MORTERO - REFARMING READY |OA|Nokia|OA|OA Completado|2021-01-27 14:47:49|2021-01-26 16:37:09|2021-01-26 16:39:09|2021-01-26 16:39:42|2021-01-27 14:47:49|2642676|CLOSE|2021-01-15 08:00:00|2021-01-15 20:00:00|2021-01-19 09:13:00|2021-06-03 19:20:00|False
21902|A22-S071|ActivacionLTE1900||/A22-S071 |OA|Nokia|OA|OA Completado|2021-02-02 10:33:24|2021-01-27 18:03:46|2021-02-02 10:31:53|2021-02-02 10:32:10|2021-02-02 10:33:24|2757516|CLOSE|2021-01-20 08:15:00|2021-01-20 20:00:00|2021-01-27 11:14:00|2021-06-03 19:32:00|False
21941|A14-S096|ActivacionLTE1900||/A14-S096	Mariano I. Loza Centro   ( FALTA ICD)	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-02-17 15:32:14|2021-02-10 11:06:38|2021-02-10 11:10:03|2021-02-10 11:10:31|2021-02-17 15:32:14|3087596|CLOSE|2021-02-09 08:30:00|2021-02-09 17:00:00|2021-02-09 08:43:00|2021-04-16 10:12:00|False
21963|A22-S043|ActivacionLTE1900||/A22-S043	Laguna Naick - Neck	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-02-08 10:52:00|2021-02-08 00:07:14|2021-02-08 00:08:37|2021-02-08 00:09:23|2021-02-08 10:52:00|3038077|CLOSE|2021-02-05 08:30:00|2021-02-05 17:00:00|2021-02-05 08:43:00|2021-06-03 19:42:00|False
21966|A07-S005|ActivacionLTE1900||/A07-S005	El Pingo	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-02-10 13:42:24|2021-02-04 12:06:46|2021-02-04 12:07:42|2021-02-04 12:08:06|2021-02-10 13:42:24|2999180|CLOSE|2021-02-03 08:00:00|2021-02-03 17:00:00|2021-02-02 12:23:00|2021-02-10 13:58:00|False
21970|A22-S091|ActivacionLTE1900||/A22-S091	Laguna Naick - Neck Av. Del Labrador	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-02-12 17:45:03|2021-02-09 16:38:04|2021-02-12 17:28:45|2021-02-12 17:44:33|2021-02-12 17:45:03|3038232|CLOSE|2021-02-05 08:40:00|2021-02-05 18:00:00|2021-02-05 08:43:00|2021-02-24 11:11:00|False
21972|A07-S002|ActivacionLTE1900||/A07-S002	Pueblo Alcaraz	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-02-12 16:43:54|2021-02-09 16:49:13|2021-02-09 16:50:02|2021-02-09 16:50:24|2021-02-12 16:43:54|3076496|CLOSE|2021-02-09 08:00:00|2021-02-09 18:00:00|2021-02-09 08:03:00|2021-02-12 16:59:00|False
21981|A18-S077|ActivacionLTE1900||/A18-S077	Ruta 12 Embalse Yacyreta	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-02-18 09:25:39|2021-02-18 08:32:24|2021-02-18 08:33:06|2021-02-18 09:24:56|2021-02-18 09:25:39|2997249|CLOSE|2021-02-05 08:00:00|2021-02-05 18:00:00|2021-02-05 08:03:00|2021-02-19 13:16:00|False
21988|A14-S048|ActivacionLTE1900||/A14-S048	Colonia Libertad	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-03-08 20:18:25|2021-03-03 14:43:13|2021-03-03 14:44:07|2021-03-05 11:20:49|2021-03-08 20:18:25|3336301|CLOSE|2021-03-03 08:00:00|2021-03-03 18:00:00|2021-03-03 08:04:00|2021-06-03 17:54:00|False
21989|A07-S224|ActivacionLTE1900||/A07-S224	Puerto Curtiembre	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-03-04 10:40:29|2021-02-26 19:43:55|2021-03-04 09:26:19|2021-03-04 09:26:48|2021-03-04 10:40:29|3302421|CLOSE|2021-02-26 08:56:00|2021-02-26 18:00:00|2021-02-26 09:03:00|2021-04-16 10:12:00|False
22390|A13-S058|ActivacionLTE1900||/A13-S058 |OA|Nokia|OA|OA Completado|2021-03-12 09:57:18|2021-03-10 17:32:03|2021-03-10 17:33:23|2021-03-10 17:34:23|2021-03-12 09:57:18|3437002|CLOSE|2021-03-10 07:45:00|2021-03-10 20:00:00|2021-03-10 09:31:00|2021-06-03 20:07:00|False
22391|A08-S069|ActivacionLTE1900||/A08-S069	Herrera	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-03-17 15:46:30|2021-03-11 16:03:58|2021-03-17 15:43:12|2021-03-17 15:43:39|2021-03-17 15:46:30|3434394|CLOSE|2021-03-11 08:00:00|2021-03-11 18:00:00|2021-03-11 08:06:00|2021-06-03 20:07:00|False
22432|A04-S034|ActivacionLTE1900||/A04-S034	Maggiolo	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-03-30 17:44:45|2021-03-25 10:17:24|2021-03-30 10:25:17|2021-03-30 10:26:05|2021-03-30 17:44:45|3662075|CLOSE|2021-03-23 08:00:00|2021-03-23 18:00:00|2021-03-23 08:11:00|2021-06-03 17:58:00|False
22433|A14-S024|ActivacionLTE1900||/A14-S024 |OA|Nokia|OA|OA Completado|2021-03-19 11:28:08|2021-03-16 16:44:25|2021-03-16 16:45:31|2021-03-16 16:45:56|2021-03-19 11:28:08|3542014|CLOSE|2021-03-16 08:30:00|2021-03-16 20:00:00|2021-03-16 10:57:00|2021-03-31 12:13:00|False
22473|A14-S021|ActivacionLTE1900||/A14-S021	El Pararrayo	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-03-28 18:40:58|2021-03-25 14:47:02|2021-03-25 14:48:13|2021-03-25 14:49:18|2021-03-28 18:40:58|3674201|CLOSE|2021-03-23 10:55:00|2021-03-23 18:00:00|2021-03-23 11:21:00|2021-06-03 20:24:00|False
22474|A04-S015|ActivacionLTE1900||/A04-S015	Diego De Alvear	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-04-06 17:32:58|2021-03-29 10:23:36|2021-03-31 18:40:25|2021-03-31 18:41:03|2021-04-06 17:32:58|3672589|CLOSE|2021-03-25 08:00:00|2021-03-25 18:00:00|2021-03-25 08:29:00|2021-06-03 17:59:00|False
22478|A18-S121|ActivacionLTE1900||/A18-S121 |OA|Nokia|OA|OA Completado|2021-04-05 18:53:10|2021-03-30 17:42:35|2021-03-30 17:43:44|2021-03-30 17:53:33|2021-04-05 18:53:10|3755079|CLOSE|2021-03-30 08:00:00|2021-03-30 20:00:00|2021-03-30 18:42:00|2021-06-03 20:26:00|False
24130|A12-S061|ActivacionLTE1900||/A12-S061 Villa Mailin (Mudanza) |OA|Huawei|OA|OA Completado|2021-11-12 11:04:58|2021-11-11 12:00:47|2021-11-11 12:01:48|2021-11-11 15:07:59|2021-11-12 11:04:58|6683764|CLOSE|2021-11-02 08:00:00|2021-11-09 20:00:00|2021-11-02 11:36:00|2021-11-04 11:21:00|False
24131|A11-S396|ActivacionLTE1900||/Intervencion A11-S396 Vinara Adec.RFM PO2021 |OA|Huawei|OA|OA Completado|2021-11-08 09:28:37|2021-11-08 09:22:48|2021-11-08 09:23:39|2021-11-08 09:24:12|2021-11-08 09:28:37|6587149|CLOSE|2021-10-27 08:00:00|2021-11-05 18:00:00|2021-10-27 08:29:00|2021-10-27 19:25:00|False
24132|A10-S099|ActivacionLTE1900||/A10-S099 Miraflores - Moderniz 4T4R puro PO2021 CCEtapa1 |OA|Huawei|OA|OA Completado|2021-10-22 16:30:10|2021-10-19 16:14:46|2021-10-19 16:28:44|2021-10-20 16:48:11|2021-10-22 16:30:10|6345931|CLOSE|2021-10-11 08:00:00|2021-10-24 20:00:00|2021-10-11 08:27:00|2021-10-20 19:43:00|False
