intervencionId|codigoSitio|NombreProyecto|ICD|DESCRIPCION|estadoSigo|Vendor|EstadoIM|subEstado|FechaEstadoIM|fechaRFISIM|fechaRFASIM|fechaRFTSIM|fechaOASIM|TT|status|schedstart|schedfinish|actstart|actfinish|check_icd
3583|A03-S068|HardwareReady||/A03-S068 Rio Tercero - Adec.RFM PO2021 CCEtapa1 |OA|Huawei|OA|OA Completado|2021-10-07 09:29:45|2021-10-07 09:25:49|2021-10-07 09:27:48|2021-10-07 09:28:48|2021-10-07 09:29:45|6182185|CLOSE|2021-09-28 08:00:00|2021-10-04 20:00:00|2021-10-01 09:20:00|2021-10-01 19:56:00|False
4065|A02-S056|HardwareReady||/A02-S056 Villa Nueva - Adec.RFM PO2021 Cap Restringida |OA|Huawei|OA|OA Completado|2021-09-15 09:16:42|2021-09-14 11:40:17|2021-09-14 11:42:14|2021-09-14 13:50:43|2021-09-15 09:16:42|5894113|CLOSE|2021-09-09 08:00:00|2021-09-17 20:00:00|2021-09-09 14:40:00|2021-09-10 22:11:00|False
4070|A02-S119|HardwareReady||/A02-S119 Marcos Juarez II (Mudanza) - Adec.RFM PO2021 Cap Restringida |OA|Huawei|OA|OA Completado|2021-07-05 17:57:59|2021-07-05 17:53:43|2021-07-05 17:54:54|2021-07-05 17:55:42|2021-07-05 17:57:59|5026509|CLOSE|2021-06-30 08:00:00|2021-07-06 20:00:00|2021-06-30 11:07:00|2021-06-30 20:05:00|False
4084|A03-S019|HardwareReady||/Intervencion A03-S019 Montecristo Refarming |OA|Huawei|OA|OA Completado|2021-09-27 10:25:49|2021-09-16 11:55:32|2021-09-16 16:10:59|2021-09-27 10:24:40|2021-09-27 10:25:49|5979752|CLOSE|2021-09-15 10:00:00|2021-09-17 18:00:00|2021-09-15 10:12:00|2021-09-16 18:39:00|False
4228|A03-S010|HardwareReady||/A03-S010 Dean Funes - Adec.RFM PO2021 Cap Restringida |OA|Huawei|OA|OA Completado|2021-06-25 11:44:58|2021-06-23 09:31:51|2021-06-23 19:32:53|2021-06-23 19:33:26|2021-06-25 11:44:58|4775511|CLOSE|2021-06-16 08:00:00|2021-06-25 20:00:00|2021-06-22 10:47:00|2021-06-23 16:38:00|False
4229|A03-S016|HardwareReady||/Batería de Li - Et 3 Adec. RFM po2021 CC Extra La Falda A03-S016 |OA|Huawei|OA|OA Completado|2021-09-08 15:21:56|2021-08-31 14:29:59|2021-08-31 15:12:24|2021-09-06 11:51:54|2021-09-08 15:21:56|5777374|CLOSE|2021-08-31 08:00:00|2021-09-03 18:00:00|2021-08-31 08:27:00|2021-09-06 15:13:00|False
4486|A10-S099|HardwareReady||/A10-S099 Miraflores - Moderniz 4T4R puro PO2021 CCEtapa1 |RFI|Huawei|OA|OA Completado|2021-10-22 16:29:48|2021-10-19 16:12:51|2021-10-19 16:14:12|2021-10-22 16:28:59|2021-10-22 16:29:48|6345931|CLOSE|2021-10-11 08:00:00|2021-10-24 20:00:00|2021-10-11 08:27:00|2021-10-20 19:43:00|False
4588|A13-S013|HardwareReady||/A13-S013	San Cristobal	Refarming (Plan Agregado) |OA|Nokia|OA|OA Completado|2021-09-09 14:59:02|2021-09-07 16:11:11|2021-09-07 16:12:57|2021-09-09 14:57:33|2021-09-09 14:59:02|5873312|CLOSE|2021-09-07 07:58:00|2021-09-07 19:00:00|2021-09-07 08:13:00|2021-09-07 16:34:00|False
4590|A13-S018|HardwareReady||/A13-S018	Vera	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-08-12 10:47:03|2021-08-06 11:10:14|2021-08-06 11:12:04|2021-08-06 11:17:51|2021-08-12 10:47:03|5478939|CLOSE|2021-08-05 08:00:00|2021-08-05 17:00:00|2021-08-05 08:29:00|2021-08-06 11:29:00|False
4604|A13-S058|HardwareReady||/A13-S058 |OA|Nokia|OA|OA Completado|2021-03-12 09:56:47|2021-03-10 17:21:47|2021-03-10 17:27:06|2021-03-10 17:31:52|2021-03-12 09:56:47|3437002|CLOSE|2021-03-10 07:45:00|2021-03-10 20:00:00|2021-03-10 09:31:00|2021-06-03 20:07:00|False
