intervencionId|codigoSitio|NombreProyecto|ICD|DESCRIPCION|estadoSigo|Vendor|EstadoIM|subEstado|FechaEstadoIM|fechaRFISIM|fechaRFASIM|fechaRFTSIM|fechaOASIM|TT|status|schedstart|schedfinish|actstart|actfinish|check_icd
24002|A03-S057|LTE2600+4T4R||/4T4R + Ov2600 PO2021 Cap Restringida Cordoba COR Luque A03-S057 |OA|Huawei|OA|OA Completado|2021-05-13 08:55:23|2021-05-07 19:51:33|2021-05-13 08:54:18|2021-05-13 08:54:46|2021-05-13 08:55:23|4002315|CLOSE|2021-04-22 08:00:00|2021-05-07 20:00:00|2021-05-03 10:52:00|2021-05-14 21:22:00|False
24002|A03-S057|LTE2600+4T4R||/Intervencion Cordoba COR Luque A03-S057 4T4R + Ov2600 PO2021 Cap Restringida |OA|Huawei|OA|OA Completado|2021-05-13 08:55:23|2021-05-07 19:51:33|2021-05-13 08:54:18|2021-05-13 08:54:46|2021-05-13 08:55:23|4097679|CLOSE|2021-04-26 08:00:00|2021-04-30 18:00:00|2021-04-26 11:12:00|2021-06-03 18:07:00|False
24005|A03-S316|LTE2600+4T4R||/A03-S316 - Cordoba Teco Arguello - Moderniz 4T4R + OV2600 |OA|Huawei|OA|OA Completado|2021-06-03 00:17:34|2021-05-28 16:30:08|2021-05-28 16:36:13|2021-05-28 16:37:23|2021-06-03 00:17:34|4401723|CLOSE|2021-05-17 08:00:00|2021-05-28 20:00:00|2021-05-17 08:22:00|2021-06-03 20:48:00|False
24006|A03-S664|LTE2600+4T4R||/Intervencion Calingasta A03-S664 4T4R + Ov2600 PO2021 Cap Restringida |OA|Huawei|OA|OA Completado|2021-05-07 12:42:12|2021-04-30 16:09:16|2021-04-30 16:09:39|2021-05-05 15:04:44|2021-05-07 12:42:12|4097871|CLOSE|2021-04-26 08:00:00|2021-04-30 18:00:00|2021-04-26 16:13:00|2021-06-03 18:08:00|False
24007|A11-S115|LTE2600+4T4R||/Modernizacion 4T4R A11-S115 Tucuman 12 de Octubre |OA|Huawei|OA|OA Completado|2021-06-03 18:04:25|2021-05-30 12:24:46|2021-06-03 18:03:28|2021-06-03 18:03:55|2021-06-03 18:04:25|4523194|CLOSE|2021-05-27 08:00:00|2021-06-04 17:00:00|2021-05-27 08:22:00|2021-06-01 16:52:00|False
24012|A11-S362|LTE2600+4T4R||/Modernizacion 4T4R - A11-S362 Tucuman Frias Silva |OA|Huawei|OA|OA Completado|2021-07-06 16:48:17|2021-07-02 10:29:16|2021-07-06 16:46:48|2021-07-06 16:47:31|2021-07-06 16:48:17|5001301|CLOSE|2021-06-28 10:00:00|2021-07-09 18:00:00|2021-06-28 10:06:00|2021-07-09 01:12:00|False
24019|A11-S532|LTE2600+4T4R||/Intervencion A11-S532 Tuc Ald. 8 |OA|Huawei|OA|OA Completado|2021-06-01 17:59:18|2021-05-27 16:26:21|2021-05-27 16:27:58|2021-05-27 16:32:08|2021-06-01 17:59:18|3076914|CLOSE|2021-02-09 09:00:00|2021-02-12 18:00:00|2021-06-03 18:19:00|2021-06-03 19:44:00|False
24025|A21-S209|LTE2600+4T4R||/MEDI_A21-S209_4T4R+2600_Modernization A21-S209 Jujuy Estadio Club Gimnasia y Esgrima |OA|Huawei|OA|OA Completado|2021-07-06 12:42:56|2021-06-30 18:18:23|2021-07-02 11:20:26|2021-07-02 11:21:01|2021-07-06 12:42:56|4748747|CLOSE|2021-06-17 08:00:00|2021-07-09 17:00:00|2021-06-17 08:08:00|2021-07-24 20:36:00|False
24125|A17-S068|LTE2600+4T4R|5773870|/A17-S068	Resistencia Fontana	4T4R + 2600 |OA|Nokia|OA|OA Completado|2021-09-14 10:14:05|2021-09-09 18:54:40|2021-09-10 09:00:41|2021-09-10 14:57:03|2021-09-14 10:14:05|5858826|CLOSE|2021-09-06 08:19:00|2021-09-08 20:00:00|2021-09-06 08:37:00|2021-09-10 15:14:00|False
24180|A04-S124|LTE2600+4T4R||/A04-S124	Rosario Matienzo	4T4R + 2600 |OA|Nokia|OA|OA Completado|2021-05-19 11:10:33|2021-05-14 19:58:06|2021-05-14 19:58:29|2021-05-14 19:58:52|2021-05-19 11:10:33|4409735|CLOSE|2021-05-17 12:59:00|2021-05-17 18:00:00|2021-05-17 13:22:00|2021-05-17 17:54:00|False
