intervencionId|codigoSitio|NombreProyecto|ICD|DESCRIPCION|estadoSigo|Vendor|EstadoIM|subEstado|FechaEstadoIM|fechaRFISIM|fechaRFASIM|fechaRFTSIM|fechaOASIM|TT|status|schedstart|schedfinish|actstart|actfinish|check_icd
19770|A03-S639|NB_IOT||/XCMATI - INST BAT LITIO (A03-S639 Córdoba Matienzo) |OA|Huawei|OA|OA Completado|2021-01-28 11:19:46|2021-01-28 11:19:04|2021-01-28 11:19:10|2021-01-28 11:19:16|2021-01-28 11:19:46|2998364|CLOSE|2021-02-05 09:00:00|2021-02-06 20:00:00|2021-02-05 11:48:00|2021-10-18 09:52:00|False
19771|A03-S580|NB_IOT||/XCGERM - INST BAT LITIO (A03-S580 Córdoba Germania) |OA|Huawei|OA|OA Completado|2021-01-28 10:37:55|2021-01-28 10:37:19|2021-01-28 10:37:25|2021-01-28 10:37:32|2021-01-28 10:37:55|3101784|CLOSE|2021-02-10 09:00:00|2021-02-11 20:00:00|2021-02-10 15:28:00|2021-02-10 18:33:00|False
20411|NPU201|NB_IOT||/Verificacion RET del sitio NPU201 |OA|Huawei|OA|OA Completado|2021-01-27 17:46:07|2021-01-27 11:49:44|2021-01-27 11:50:05|2021-01-27 17:45:29|2021-01-27 17:46:07|2754331|CLOSE|2021-01-20 09:00:00|2021-02-02 18:00:00|2021-01-21 12:38:00|2021-02-11 14:23:00|False
20599|OPU149|NB_IOT||/OPU149 |OA|Huawei|OA|OA Completado|2021-10-20 10:44:52|2021-10-19 15:17:25|2021-10-19 15:17:25|2021-10-20 10:44:11|2021-10-20 10:44:52|6435702|CLOSE|2021-10-18 08:00:00|2021-10-22 18:00:00|2021-10-18 11:10:00|2021-10-18 17:49:00|False
20859|OPU301|NB_IOT||/OPU301 |OA|Huawei|OA|OA Completado|2021-10-21 15:56:24|2021-10-20 12:55:22|2021-10-20 12:55:22|2021-10-21 15:56:24|2021-10-21 15:56:24|6436053|CLOSE|2021-10-18 09:00:00|2021-10-22 18:00:00|2021-10-19 13:10:00|2021-10-19 16:13:00|False
20876|OPU146|NB_IOT||/OPU146 |OA|Huawei|OA|OA Completado|2021-10-20 10:45:03|2021-10-19 15:17:29|2021-10-19 15:17:29|2021-10-20 10:44:20|2021-10-20 10:45:03|6436188|CLOSE|2021-10-18 09:00:00|2021-10-22 18:00:00|2021-10-20 12:37:00|2021-10-20 16:34:00|False
21358|SPU007|NB_IOT||/SPU007 |OA|Huawei|OA|OA Completado|2021-10-21 15:56:56|2021-10-20 17:51:03|2021-10-20 17:51:03|2021-10-21 15:56:56|2021-10-21 15:56:56|6436154|CLOSE|2021-10-18 09:00:00|2021-10-22 17:00:00|2021-10-19 11:34:00|2021-10-19 14:34:00|False
22012|A14-S009|NB_IOT||/A14-S009 WMTCSR -  Monte Caceros - Iot - Flexi |OA|Nokia|OA|OA Completado|2021-03-03 18:08:11|2021-03-02 09:29:49|2021-03-02 09:30:23|2021-03-02 09:30:35|2021-03-03 18:08:11|3344246|CLOSE|2021-03-02 09:00:00|2021-03-02 18:00:00|2021-03-02 09:09:00|2021-03-02 11:03:00|False
22023|A14-S021|NB_IOT||/A14-S021	El Pararrayo	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-03-17 09:40:24|2021-03-15 17:44:00|2021-03-15 17:44:10|2021-03-15 17:44:16|2021-03-17 09:40:24|3674201|CLOSE|2021-03-23 10:55:00|2021-03-23 18:00:00|2021-03-23 11:21:00|2021-06-03 20:24:00|False
22095|A16-S011|NB_IOT||/A16-S011	Villa Rio Bermejito	Bateria Litio Lote 2 |OA|Nokia|OA|OA Completado|2021-04-05 11:50:53|2021-04-01 11:31:13|2021-04-01 11:31:17|2021-04-01 11:31:22|2021-04-05 11:50:53|3838879|CLOSE|2021-04-07 08:00:00|2021-04-07 18:00:00|2021-04-07 08:13:00|2021-06-03 18:01:00|False
22238|A17-S110|NB_IOT||/A17-S110	ITATI ACCESO	Batería Litio Lote 2 |OA|Nokia|OA|OA Completado|2021-03-23 09:24:17|2021-03-22 10:25:49|2021-03-22 10:25:56|2021-03-22 10:26:04|2021-03-23 09:24:17|3674467|CLOSE|2021-03-23 11:19:00|2021-03-23 18:00:00|2021-03-23 11:42:00|2021-09-21 16:01:00|False
24384|A22-S018|NB_IOT||/A22-S018	El Colorado	4T4R |OA|Nokia|OA|OA Completado|2021-09-14 09:20:51|2021-09-02 17:52:41|2021-09-02 22:28:54|2021-09-02 22:30:26|2021-09-14 09:20:51|5740717|CLOSE|2021-08-30 08:00:00|2021-09-03 18:00:00|2021-08-30 08:27:00|2021-09-03 11:46:00|False
24386|A22-S020|NB_IOT||/A22-S020	Pirane	4T4R |OA|Nokia|OA|OA Completado|2021-08-30 07:41:55|2021-08-13 17:37:29|2021-08-13 17:37:50|2021-08-13 17:40:33|2021-08-30 07:41:55|5452802|CLOSE|2021-08-02 08:24:00|2021-08-06 18:00:00|2021-08-02 08:38:00|2021-09-08 09:13:00|False
