intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
23989,A23-S010,Pichanal,4T4R Reuso,Sin Asignar,Sin Asignar,Sin Asignar,APICHA,MEDI,5592290,ISM-11977,OA,2021-08-17 09:45:59,2021-08-17 09:45:59,2021-08-17 10:45:59,2021-08-26 17:01:59,2021-09-08 09:53:00,,-23.33,-64.2247,A23,Proveedor,Huawei,OA,OA Completado,2021-09-08 09:40:07,2021-08-17 17:58:29,2021-08-17 17:58:38,2021-08-17 18:00:02,2021-08-26 16:50:11,2021-09-08 09:40:07,2021-08-14
24030,A03-S026,Mina Clavero,4T4R Reuso,Sin Asignar,Sin Asignar,Sin Asignar,XMICLA,MEDI,5717677,ISM-11991,OA,2021-09-02 16:36:59,2021-09-03 09:00:59,2021-09-06 10:18:59,2021-09-20 11:26:59,2021-10-04 15:29:59,,-31.7235,-65.0037,A03,Proveedor,Huawei,OA,OA Completado,2021-09-17 17:47:12,2021-09-03 00:34:19,2021-09-06 10:05:47,2021-09-06 10:07:43,2021-09-06 10:09:03,2021-09-17 17:47:12,2021-08-26
24035,A10-S040,Catamarca Valle Viejo,4T4R Reuso,Sin Asignar,Sin Asignar,Sin Asignar,KVIEJO,MEDI,,ISM-11996,OA,2021-10-01 11:10:00,2021-10-04 11:53:59,2021-10-07 09:31:00,2021-10-07 14:01:00,2021-10-07 18:33:59,,-28.4534,-65.7242,A10,Proveedor,Huawei,OA,OA Completado,2021-10-07 10:06:02,2021-10-01 10:22:05,2021-10-01 10:22:15,2021-10-07 10:03:28,2021-10-07 10:05:06,2021-10-07 10:06:02,
24038,A11-S001,Santa Maria,4T4R Reuso,Sin Asignar,Sin Asignar,Sin Asignar,TSTAMA,MEDI,6507201,ISM-11998,OA,2021-11-01 16:30:59,2021-11-01 17:08:00,2021-11-02 09:38:59,2021-11-02 12:35:00,2021-11-03 10:25:00,,-26.6981,-66.0483,A11,Proveedor,Huawei,OA,OA Completado,2021-11-08 10:19:35,2021-10-25 10:41:49,2021-10-25 11:17:46,2021-11-08 10:18:38,2021-11-08 10:19:08,2021-11-08 10:19:35,
24039,A11-S033,Tafi Del Valle,4T4R Reuso,Sin Asignar,Sin Asignar,Sin Asignar,TTVALL,MEDI,5748608,ISM-11999,OA,2021-08-31 08:42:59,2021-08-31 12:58:00,2021-08-31 13:03:00,2021-09-13 12:31:00,2021-09-13 14:46:00,,-26.8622,-65.7126,A11,Proveedor,Huawei,OA,OA Completado,2021-09-13 09:39:53,2021-08-31 12:53:30,2021-08-31 12:53:37,2021-08-31 12:55:06,2021-08-31 12:56:17,2021-09-13 09:39:53,2021-08-27
24040,A11-S041,La Ramada,4T4R Reuso,Sin Asignar,Sin Asignar,Sin Asignar,TRAMAD,MEDI,5639407,ISM-12000,OA,2021-08-30 08:26:00,2021-08-30 13:34:59,2021-09-01 15:49:59,2021-09-01 17:06:00,2021-09-02 10:57:00,,-26.6873,-64.942,A11,Proveedor,Huawei,OA,OA Completado,2021-09-02 10:45:32,2021-09-01 15:39:37,2021-09-01 15:39:45,2021-09-01 15:41:14,2021-09-01 15:43:45,2021-09-02 10:45:32,2021-08-18
24045,A11-S367,Famailla Sur,4T4R Reuso,Sin Asignar,Sin Asignar,Sin Asignar,TFAMSU,MEDI,,ISM-12005,OA,2021-10-13 13:00:59,2021-10-15 17:15:00,2021-10-15 18:08:00,2021-10-18 17:57:00,2021-10-19 09:04:00,,-27.0634,-65.4035,A11,Proveedor,Huawei,OA,OA Completado,2021-10-19 09:40:01,2021-10-13 12:10:13,2021-10-13 12:10:34,2021-10-19 09:37:47,2021-10-19 09:39:02,2021-10-19 09:40:01,
24046,A12-S003,Campo Gallo,4T4R Reuso,Sin Asignar,Sin Asignar,Sin Asignar,GGALLO,MEDI,6229429,ISM-12006,OA,2021-10-20 09:04:00,2021-10-22 16:45:59,2021-10-22 16:48:00,2021-10-25 18:20:59,2021-10-25 18:54:00,,-26.5788,-62.8472,A12,Proveedor,Huawei,OA,OA Completado,2021-10-22 16:38:44,2021-10-14 16:37:46,2021-10-14 16:37:56,2021-10-22 16:37:24,2021-10-22 16:38:12,2021-10-22 16:38:44,
24051,A15-S004,Las Lajitas,4T4R Reuso,Sin Asignar,Sin Asignar,Sin Asignar,ALAJIT,MEDI,6491032,ISM-12010,OA,2021-10-27 12:13:59,2021-11-04 09:27:59,2021-11-04 09:31:59,2021-11-04 14:26:59,2021-11-08 09:24:59,,-24.7236,-64.1986,A15,Proveedor,Huawei,OA,OA Completado,2021-11-04 10:27:07,2021-10-27 08:53:35,2021-10-27 08:54:04,2021-11-04 10:25:47,2021-11-04 10:26:22,2021-11-04 10:27:07,
26462,A11-S106,Gob. Piedrabuena,4T4R Reuso,Sin Asignar,Sin Asignar,Sin Asignar,TGPBUE,MEDI,6596305,ISM-15927,OA,2021-11-05 15:31:59,2021-11-05 15:31:59,2021-11-08 15:58:59,2021-11-08 15:58:59,2021-11-09 09:53:00,,-26.7368,-64.648,A11,Proveedor,Huawei,OA,OA Completado,2021-11-09 09:39:23,2021-11-08 10:23:49,2021-11-08 10:24:07,2021-11-08 10:24:41,2021-11-09 09:38:37,2021-11-09 09:39:23,
