intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
23951,A04-S594,Fray Luis Beltran 1,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,ZFLBEA,LITO,,ISM-11892,OA,2021-03-29 12:44:00,2021-03-29 12:44:00,2021-03-29 14:23:00,2021-03-29 14:24:00,2021-03-31 09:11:00,,-32.7937,-60.7326,A04,MOP,Nokia,OA,OA Completado,2021-03-31 09:02:30,2021-03-30 10:06:27,2021-03-30 10:06:43,2021-03-30 10:08:34,2021-03-30 10:09:20,2021-03-31 09:02:30,2021-03-23
23952,A03-S014,Cosquin,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,XICOSQ,MEDI,,ISM-11883,OA,2021-05-17 10:16:59,2021-05-17 10:16:59,2021-05-17 17:46:59,2021-05-17 17:46:59,2021-05-31 16:23:59,,-31.2376,-64.4636,A03,Proveedor,Huawei,OA,OA Completado,2021-05-31 16:13:12,2021-05-17 17:37:01,2021-05-17 17:37:08,2021-05-17 17:38:33,2021-05-17 17:39:19,2021-05-31 16:13:12,2021-05-10
23954,A03-S265,Cordoba Inaudi,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,XCINAU,MEDI,5078688,ISM-12350,OA,2021-08-02 12:27:00,2021-08-02 12:27:00,2021-08-03 14:10:59,2021-08-03 14:10:59,2021-09-08 10:12:59,,-31.4806,-64.2018,A03,Proveedor,Huawei,OA,OA Completado,2021-09-08 09:57:24,2021-08-03 13:54:49,2021-08-03 13:54:57,2021-08-03 13:56:09,2021-08-03 13:57:02,2021-09-08 09:57:24,
23955,A03-S616,Villa Carlos Paz Nextel,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,XVCNXT,MEDI,,ISM-11884,OA,2021-05-14 15:22:00,2021-05-14 15:22:00,2021-05-14 15:24:00,2021-05-14 15:26:00,2021-05-14 15:27:00,,-31.4213,-64.5009,A03,Proveedor,Huawei,OA,OA Completado,2021-05-14 14:39:53,2021-05-11 11:12:08,2021-05-11 11:12:17,2021-05-11 11:13:42,2021-05-11 11:14:27,2021-05-14 14:39:53,2021-05-03
23956,A03-S624,Malvinas Este,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,XMALVE,MEDI,,ISM-11885,OA,2021-07-02 12:24:59,2021-07-02 12:24:59,2021-07-05 12:56:59,2021-07-05 12:56:59,2021-07-05 12:58:00,,-31.3776,-64.0417,A03,Proveedor,Huawei,OA,OA Completado,2021-07-05 12:48:47,2021-07-05 12:46:21,2021-07-05 12:46:33,2021-07-05 12:47:35,2021-07-05 12:48:08,2021-07-05 12:48:47,2021-06-22
23958,A10-S014,Recreo,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,KRECRE,MEDI,5499013,ISM-11895,OA,2021-08-11 08:37:00,2021-08-11 08:37:00,2021-08-11 13:23:59,2021-08-11 13:25:00,2021-08-20 16:45:59,,-29.2747,-65.0467,A10,Proveedor,Huawei,OA,OA Completado,2021-08-20 16:34:29,2021-08-11 00:51:32,2021-08-11 00:52:45,2021-08-11 00:55:03,2021-08-11 13:20:25,2021-08-20 16:34:29,
23960,A11-S024,Ranchillos,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TRANCH,MEDI,,ISM-11897,OA,2021-06-11 07:57:00,2021-06-11 07:57:00,2021-06-15 10:14:00,2021-06-15 10:14:59,2021-06-15 10:14:59,,-26.955,-65.0438,A11,PROVEEDOR,Huawei,OA,OA Completado,2021-06-15 10:05:14,2021-06-07 21:16:31,2021-06-07 21:16:36,2021-06-10 17:56:14,2021-06-15 10:04:42,2021-06-15 10:05:14,2021-06-01
23961,A11-S103,Bella Vista,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TBVIST,MEDI,,ISM-11898,OA,2021-05-31 16:12:59,2021-05-31 16:12:59,2021-05-31 16:14:00,2021-05-31 16:16:00,2021-05-31 16:16:00,,-27.0336,-65.3076,A11,Proveedor,Huawei,OA,OA Completado,2021-05-31 16:04:26,2021-05-22 19:43:42,2021-05-22 19:43:50,2021-05-28 16:40:20,2021-05-28 16:40:56,2021-05-31 16:04:26,2021-05-21
23962,A11-S124,Tucuman Judiciales,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCJUDI,MEDI,,ISM-11899,OA,2021-05-21 09:26:00,2021-05-21 09:26:00,2021-05-21 17:50:00,2021-05-21 17:50:00,2021-05-21 17:50:00,,-26.8717,-65.2203,A11,Proveedor,Huawei,OA,OA Completado,2021-05-21 17:42:58,2021-05-19 10:22:44,2021-05-19 10:37:37,2021-05-21 17:41:15,2021-05-21 17:42:04,2021-05-21 17:42:58,2021-05-14
23964,A11-S162,La Reduccion,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TLREDU,MEDI,5698433,ISM-11901,OA,2021-08-26 07:57:59,2021-08-26 07:57:59,2021-09-30 10:25:59,2021-09-30 10:25:59,2021-09-30 10:27:00,,-26.9615,-65.3512,A11,Proveedor,Huawei,OA,OA Completado,2021-09-30 10:15:16,2021-08-26 01:48:15,2021-08-26 01:48:21,2021-08-26 01:50:37,2021-09-30 10:14:30,2021-09-30 10:15:16,2021-08-24
23965,A11-S213,Tucuman Autodromo,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCAUTO,MEDI,5505277,ISM-11902,OA,2021-08-13 11:26:00,2021-08-13 11:26:00,2021-08-13 12:09:00,2021-08-13 12:09:00,2021-08-13 12:09:00,,-26.8324,-65.1774,A11,Proveedor,Huawei,OA,OA Completado,2021-08-13 12:20:11,2021-08-13 11:58:31,2021-08-13 11:58:37,2021-08-13 12:05:19,2021-08-13 12:16:13,2021-08-13 12:20:11,2021-07-31
23966,A11-S214,Tucuman Lince,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCLINC,MEDI,,ISM-11903,OA,2021-06-22 09:42:00,2021-06-22 09:42:00,2021-06-22 10:56:00,2021-06-22 10:56:00,2021-06-25 13:50:59,,-26.8494,-65.1846,A11,Proveedor,Huawei,OA,OA Completado,2021-06-25 13:40:34,2021-06-21 22:44:20,2021-06-21 22:44:31,2021-06-21 22:46:10,2021-06-21 22:47:02,2021-06-25 13:40:34,2021-06-18
23967,A11-S237,Tucuman Alem,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCALEM,MEDI,,ISM-11904,OA,2021-05-11 11:08:00,2021-05-11 11:08:00,2021-05-11 11:19:00,2021-05-11 11:19:59,2021-05-14 15:00:00,,-26.8535,-65.225,A11,Proveedor,Huawei,OA,OA Completado,2021-05-14 14:48:39,2021-05-11 11:15:17,2021-05-11 11:15:26,2021-05-11 11:21:06,2021-05-11 11:21:51,2021-05-14 14:48:39,2021-05-03
23968,A11-S288,Ingenio La Florida,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TIFLDA,MEDI,,ISM-11905,OA,2021-05-15 00:54:00,2021-05-15 00:54:00,2021-05-20 10:50:59,2021-05-20 10:50:59,2021-05-20 10:50:59,,-26.8156,-65.0827,A11,Proveedor,Huawei,OA,OA Completado,2021-05-20 10:50:56,2021-05-20 10:46:56,2021-05-20 10:47:05,2021-05-20 10:49:29,2021-05-20 10:50:20,2021-05-20 10:50:56,2021-05-11
23969,A11-S374,Tucuman El Corte Alderetes,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCCALD,MEDI,,ISM-11906,OA,2021-05-27 18:09:00,2021-05-27 18:09:00,2021-05-28 16:32:59,2021-05-28 16:34:00,2021-05-31 15:51:59,,-26.8276,-65.1494,A11,Proveedor,Huawei,OA,OA Completado,2021-05-31 15:38:18,2021-05-24 20:27:02,2021-05-26 13:55:53,2021-05-26 13:57:08,2021-05-26 13:58:00,2021-05-31 15:38:18,2021-05-21
23971,A11-S451,Termas de Rio Hondo 6,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,GTERM6,MEDI,,ISM-11907,OA,2021-06-22 09:42:59,2021-06-22 09:42:59,2021-06-22 10:56:00,2021-06-22 10:56:00,2021-06-25 16:27:00,,-27.4867,-64.8627,A11,Proveedor,Huawei,OA,OA Completado,2021-06-25 16:18:20,2021-06-21 22:57:26,2021-06-21 22:57:33,2021-06-21 22:58:50,2021-06-21 22:59:40,2021-06-25 16:18:20,2021-06-15
23972,A11-S521,Tucuman El Colmenar 3,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCCOL3,MEDI,5965152,ISM-11908,OA,2021-05-26 15:49:00,2021-05-26 15:49:00,2021-05-27 14:55:00,2021-05-27 14:55:59,2021-05-27 14:57:00,,-26.7939,-65.182,A11,Proveedor,Huawei,OA,OA Completado,2021-05-27 15:10:57,2021-05-20 16:58:13,2021-05-20 16:58:22,2021-05-20 16:59:35,2021-05-20 17:00:33,2021-05-27 15:10:57,2021-05-11
23973,A11-S529,Tucuman Alderetes 5,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCALD5,MEDI,,ISM-11909,OA,2021-04-28 10:25:00,2021-04-28 10:25:00,2021-04-28 10:32:59,2021-04-30 17:42:59,2021-04-30 17:44:00,,-26.803,-65.1423,A11,PROVEEDOR,Huawei,OA,OA Completado,2021-05-07 19:47:30,2021-04-28 10:11:17,2021-04-28 10:11:31,2021-04-28 10:11:56,2021-05-07 19:47:09,2021-05-07 19:47:30,2021-04-26
