intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
18017,A41-B178,Playa Chapadmalal,AmpliacionBWLTE1900,Sin Asignar,Sin Asignar,Sin Asignar,BPCHAP,SUR,,N/A,,,,,,,,-38.1584,-57.6318,A41,MOP,Huawei,OA,OA Completado,2021-02-05 17:54:54,,2021-02-01 16:46:54,2021-02-01 16:49:12,2021-02-05 17:54:08,2021-02-05 17:54:54,
28017,A19-S001,Eldorado Rep.,AmpliacionBWLTE1900,Sin Asignar,Sin Asignar,Sin Asignar,IELDRP,LITO,,ISM-16227,OA,2021-09-20 09:00:00,2021-09-20 09:00:00,2021-09-20 09:26:00,2021-09-20 11:30:00,2021-09-22 10:29:00,,-26.3997,-54.6361,A19,MOP,Nokia,OA,OA Completado,2021-09-22 10:49:24,,2021-09-20 10:31:21,2021-09-20 10:33:28,2021-09-20 10:34:05,2021-09-22 10:49:24,
28018,A19-S036,Eldorado Km 12 (A19-S036) Tp,AmpliacionBWLTE1900,Sin Asignar,Sin Asignar,Sin Asignar,IELDKM,LITO,,ISM-16228,OA,2021-09-20 09:00:00,2021-09-20 09:00:00,2021-09-20 09:31:59,2021-09-23 19:00:00,2021-09-24 13:32:00,,-26.4076,-54.5855,A19,MOP,Nokia,OA,OA Completado,2021-09-24 13:33:10,,2021-09-20 10:46:32,2021-09-20 10:47:19,2021-09-22 10:57:19,2021-09-24 13:33:10,
28019,A19-S037,Eldorado Puerto,AmpliacionBWLTE1900,Sin Asignar,Sin Asignar,Sin Asignar,IELDPT,LITO,,ISM-16229,OA,2021-09-10 12:17:00,2021-09-10 12:17:00,2021-09-10 12:27:00,2021-09-10 17:21:00,2021-09-17 15:11:00,,-26.4078,-54.6469,A19,MOP,Nokia,OA,OA Completado,2021-09-17 15:34:32,,2021-09-13 17:30:14,2021-09-13 17:31:01,2021-09-13 17:31:36,2021-09-17 15:34:32,
28020,A19-S040,Eldorado Centro 2,AmpliacionBWLTE1900,Sin Asignar,Sin Asignar,Sin Asignar,IELDCE,LITO,,ISM-16230,OA,2021-09-20 09:00:59,2021-09-20 09:00:59,2021-09-20 09:33:59,2021-09-23 19:00:00,2021-09-24 13:34:00,,-26.4072,-54.6078,A19,MOP,Nokia,OA,OA Completado,2021-09-24 13:39:22,,2021-09-20 10:47:59,2021-09-20 10:48:44,2021-09-22 10:58:18,2021-09-24 13:39:22,
28021,A19-S048,Eldorado Casino,AmpliacionBWLTE1900,Sin Asignar,Sin Asignar,Sin Asignar,IELDCS,LITO,,ISM-16231,OA,2021-09-20 09:02:00,2021-09-20 09:02:00,2021-09-20 09:31:00,2021-09-20 11:30:59,2021-09-22 10:32:59,,-26.4057,-54.6169,A19,MOP,Nokia,OA,OA Completado,2021-09-22 10:56:35,,2021-09-20 10:44:38,2021-09-20 10:45:23,2021-09-20 10:45:57,2021-09-22 10:56:35,
28022,A19-S049,El Dorado Este,AmpliacionBWLTE1900,Sin Asignar,Sin Asignar,Sin Asignar,IELDES,LITO,,ISM-16232,OA,2021-09-22 11:39:00,2021-09-22 11:39:00,2021-09-22 13:20:00,2021-09-24 22:03:59,2021-09-27 09:02:59,,-26.4079,-54.5952,A19,MOP,Nokia,OA,OA Completado,2021-09-27 08:54:18,,2021-09-20 10:49:30,2021-09-20 10:50:38,2021-09-22 13:13:10,2021-09-27 08:54:18,
28023,A19-S051,Eldorado Club Social,AmpliacionBWLTE1900,Sin Asignar,Sin Asignar,Sin Asignar,IELDSO,LITO,,ISM-16233,OA,2021-09-29 08:57:59,2021-09-29 08:57:59,2021-09-29 09:02:00,2021-09-29 13:27:59,2021-09-29 14:06:59,,-26.4157,-54.6091,A19,MOP,Nokia,OA,OA Completado,2021-09-29 13:58:57,,2021-09-20 10:51:41,2021-09-20 10:53:47,2021-09-29 08:57:47,2021-09-29 13:58:57,
28024,A19-S052,Eldorado Puerto Poste 1,AmpliacionBWLTE1900,Sin Asignar,Sin Asignar,Sin Asignar,IELDP1,LITO,,ISM-16234,OA,2021-09-20 09:00:00,2021-09-20 09:00:00,2021-09-20 09:20:00,2021-09-23 18:58:00,2021-09-24 12:18:00,,-26.4075,-54.6657,A19,MOP,Nokia,OA,OA Completado,2021-09-24 13:28:13,,2021-09-20 10:19:48,2021-09-20 10:20:47,2021-09-22 10:41:44,2021-09-24 13:28:13,
28025,A19-S053,Eldorado Puerto Poste 2,AmpliacionBWLTE1900,Sin Asignar,Sin Asignar,Sin Asignar,IELDP2,LITO,,ISM-16235,OA,2021-09-20 09:00:59,2021-09-20 09:00:59,2021-09-20 09:22:00,2021-09-20 11:30:00,2021-09-22 10:25:00,,-26.4085,-54.6728,A19,MOP,Nokia,OA,OA Completado,2021-09-22 10:42:53,,2021-09-20 10:21:25,2021-09-20 10:22:13,2021-09-20 10:22:43,2021-09-22 10:42:53,
