intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
2803,A03-S062,Cordoba Ciadea,HardwareReady,Sin Asignar,Sin Asignar,Sin Asignar,XCCIAD,MEDI,,ISM-2007,OA,2021-04-06 17:51:00,2021-04-06 17:51:00,2021-04-08 14:17:59,2021-04-14 15:56:00,2021-04-14 17:44:59,,-31.4708,-64.2586,A03,MOP,Huawei,OA,OA Completado,2021-04-14 17:53:53,2021-04-08 11:39:01,2021-04-08 11:39:47,2021-04-08 14:08:36,2021-04-14 16:17:18,2021-04-14 17:53:53,
2809,A03-S166,Villa Allende Golf,HardwareReady,Sin Asignar,Sin Asignar,Sin Asignar,XVALLG,MEDI,,ISM-128,OA,2021-05-11 09:06:59,2021-05-11 09:06:59,2021-05-11 09:20:00,2021-05-11 09:20:59,2021-05-11 13:09:00,,-31.2777,-64.2839,A03,MOP,Huawei,OA,OA Completado,2021-05-11 13:04:44,2021-05-11 09:21:40,2021-05-11 09:21:51,2021-05-11 09:23:05,2021-05-11 09:23:47,2021-05-11 13:04:44,
3572,A02-S008,Marcos Juarez,HardwareReady,Sin Asignar,Sin Asignar,Sin Asignar,XMJREZ,MEDI,,ISM-12179,OA,2021-07-30 08:19:59,2021-07-30 08:19:59,2021-08-05 15:36:00,2021-08-05 15:36:59,2021-08-05 15:38:00,,-32.6983,-62.1014,A02,MOP,Huawei,OA,OA Completado,2021-08-05 15:24:30,2021-07-29 18:24:22,2021-07-29 18:24:28,2021-07-29 18:26:06,2021-08-05 15:23:20,2021-08-05 15:24:30,
3574,A02-S061,Oliva Nextel,HardwareReady,Sin Asignar,Sin Asignar,Sin Asignar,XOLINX,MEDI,,ISM-12192,OA,2021-03-29 16:23:00,2021-03-29 16:23:00,2021-03-29 19:25:59,2021-03-29 20:15:00,2021-03-29 20:15:59,,-32.0289,-63.5808,A02,MOP,Huawei,OA,OA Completado,2021-04-06 16:26:47,2021-04-06 16:24:17,2021-04-06 16:24:32,2021-04-06 16:25:33,2021-04-06 16:26:11,2021-04-06 16:26:47,
3582,A03-S065,Villa Allende,HardwareReady,Sin Asignar,Sin Asignar,Sin Asignar,XVALLE,MEDI,,ISM-12228,OA,2021-05-12 08:51:59,2021-05-12 08:51:59,2021-05-18 11:15:59,2021-05-18 11:15:59,2021-05-18 11:24:59,,-31.2938,-64.2963,A03,MOP,Huawei,OA,OA Completado,2021-05-31 10:39:38,2021-05-12 17:34:05,2021-05-12 17:34:25,2021-05-12 17:35:28,2021-05-18 11:10:56,2021-05-31 10:39:38,
3583,A03-S068,Rio Tercero,HardwareReady,Sin Asignar,Sin Asignar,Sin Asignar,XRTERC,MEDI,,ISM-2029,OA,2021-10-01 10:07:59,2021-10-01 10:07:59,2021-10-05 09:31:59,2021-10-05 09:31:59,2021-10-05 09:31:59,,-32.175,-64.1136,A03,MOP,Huawei,OA,OA Completado,2021-10-07 09:29:45,2021-10-07 09:25:36,2021-10-07 09:25:49,2021-10-07 09:27:48,2021-10-07 09:28:48,2021-10-07 09:29:45,
3598,A03-S300,La Paz,HardwareReady,Sin Asignar,Sin Asignar,Sin Asignar,XLAPAZ,MEDI,,ISM-12247,OA,2021-08-04 14:26:59,2021-08-04 14:26:59,2021-08-04 19:09:59,2021-08-05 17:42:59,2021-08-09 12:36:00,,-32.2172,-65.0447,A03,MOP,Huawei,OA,OA Completado,2021-08-09 12:23:07,2021-08-04 19:20:21,2021-08-04 19:20:29,2021-08-05 17:32:14,2021-08-05 17:32:43,2021-08-09 12:23:07,
3602,A03-S326,Dean Funes Ii,HardwareReady,Sin Asignar,Sin Asignar,Sin Asignar,XDFUNB,MEDI,,ISM-12252,OA,2021-06-22 16:18:59,2021-06-22 16:18:59,2021-06-28 22:23:59,2021-06-28 22:25:00,2021-06-29 22:39:00,,-30.4324,-64.3352,A03,MOP,Huawei,OA,OA Completado,2021-06-29 22:25:43,2021-06-28 22:02:28,2021-06-28 22:02:40,2021-06-28 22:04:12,2021-06-28 22:05:09,2021-06-29 22:25:43,
3644,A03-S798,San Vicente,HardwareReady,Sin Asignar,Sin Asignar,Sin Asignar,XSANVI,MEDI,,ISM-12266,OA,2021-08-04 08:35:00,2021-08-04 08:35:00,2021-08-05 09:31:59,2021-08-05 09:33:00,2021-08-17 12:13:00,,-31.8519,-65.4295,A03,MOP,Huawei,OA,OA Completado,2021-08-17 11:59:06,2021-08-05 09:13:55,2021-08-05 09:14:08,2021-08-05 09:22:12,2021-08-05 09:23:25,2021-08-17 11:59:06,
4065,A02-S056,Villa Nueva,HardwareReady,Sin Asignar,Sin Asignar,Sin Asignar,XVNUEV,MEDI,,ISM-12191,OA,2021-09-10 08:15:59,2021-09-10 08:15:59,2021-09-14 11:53:00,2021-09-14 14:03:00,2021-09-15 09:29:00,,-32.4339,-63.2495,A02,MOP,Huawei,OA,OA Completado,2021-09-15 09:16:42,2021-09-14 11:40:05,2021-09-14 11:40:17,2021-09-14 11:42:14,2021-09-14 13:50:43,2021-09-15 09:16:42,
4070,A02-S119,Marcos Jaurez II Mudanza,HardwareReady,Sin Asignar,Sin Asignar,Sin Asignar,XJRZII,MEDI,,ISM-12212,OA,2021-06-30 18:20:59,2021-06-30 18:20:59,2021-07-05 11:59:00,2021-07-05 12:00:00,2021-07-05 12:00:59,,-32.6852,-62.0989,A02,MOP,Huawei,OA,OA Completado,2021-07-05 17:57:59,2021-07-05 17:53:31,2021-07-05 17:53:43,2021-07-05 17:54:54,2021-07-05 17:55:42,2021-07-05 17:57:59,
