intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
26502,A16-S048,Saenz Peña Barrios Norte,HardwareReady850,Sin Asignar,Sin Asignar,Sin Asignar,HRSBNO,LITO,,ISM-15662,OA,2021-07-06 09:00:59,2021-07-06 09:00:59,2021-07-15 15:00:59,2021-07-15 16:48:59,2021-07-23 09:58:59,,-26.7702,-60.4422,A16,MOP,Nokia,OA,OA Completado,2021-11-01 15:54:15,2021-11-01 15:51:42,2021-11-01 15:51:54,2021-11-01 15:53:08,2021-11-01 15:53:32,2021-11-01 15:54:15,
26742,A04-S211,Funes Ii,HardwareReady850,Sin Asignar,Sin Asignar,Sin Asignar,ZFUNES,LITO,,ISM-16136,OA,2021-09-24 08:14:00,2021-09-24 08:14:00,2021-09-24 18:18:00,2021-09-24 18:18:59,2021-09-24 18:18:59,,-32.9242,-60.8054,A04,MOP,Nokia,OA,OA Completado,2021-09-24 18:49:45,2021-09-24 18:46:35,2021-09-24 18:47:01,2021-09-24 18:48:23,2021-09-24 18:49:05,2021-09-24 18:49:45,
26744,A04-S215,Puerto General San Martin Centro,HardwareReady850,Sin Asignar,Sin Asignar,Sin Asignar,ZPGSCE,LITO,,ISM-16129,OA,2021-09-28 08:39:00,2021-09-28 08:39:00,2021-09-28 19:16:59,2021-09-28 19:16:59,2021-09-28 19:18:00,,-32.7058,-60.733,A04,MOP,Nokia,OA,OA Completado,2021-09-28 19:20:23,2021-09-28 19:16:05,2021-09-28 19:16:43,2021-09-28 19:18:20,2021-09-28 19:19:13,2021-09-28 19:20:23,
26751,A04-S232,Soldini,HardwareReady850,Sin Asignar,Sin Asignar,Sin Asignar,ZSOLDI,LITO,,ISM-16141,OA,2021-10-19 12:24:00,2021-10-19 12:24:00,2021-10-29 10:38:00,2021-10-29 10:39:00,2021-10-29 10:39:00,,-33.0144,-60.7489,A04,MOP,Nokia,OA,OA Completado,2021-11-01 15:26:21,2021-11-01 15:22:38,2021-11-01 15:22:45,2021-11-01 15:24:10,2021-11-01 15:25:40,2021-11-01 15:26:21,
26763,A04-S271,Aldao,HardwareReady850,Sin Asignar,Sin Asignar,Sin Asignar,ZALDAO,LITO,,ISM-16148,OA,2021-10-20 14:08:59,2021-10-20 14:08:59,2021-10-29 10:36:59,2021-10-29 10:39:59,2021-10-29 10:39:59,,-32.7056,-60.8127,A04,MOP,Nokia,OA,OA Completado,2021-10-31 18:46:44,2021-10-29 10:18:17,2021-10-31 18:43:20,2021-10-31 18:45:15,2021-10-31 18:45:54,2021-10-31 18:46:44,
26769,A04-S302,Roldan,HardwareReady850,Sin Asignar,Sin Asignar,Sin Asignar,ZROLDB,LITO,,ISM-16143,OA,2021-10-04 11:08:00,2021-10-04 11:08:00,2021-10-04 11:17:00,2021-10-04 11:17:00,2021-10-06 10:09:59,,-32.9092,-60.8972,A04,MOP,Nokia,OA,OA Completado,2021-10-06 09:57:58,2021-10-04 10:58:49,2021-10-04 10:58:58,2021-10-04 11:00:37,2021-10-04 11:01:33,2021-10-06 09:57:58,
26771,A04-S309,Casilda 2,HardwareReady850,Sin Asignar,Sin Asignar,Sin Asignar,ZCASIB,LITO,,ISM-16156,OA,2021-11-01 14:08:00,2021-11-01 14:08:00,2021-11-01 14:10:59,2021-11-01 14:12:00,2021-11-01 14:12:00,,-33.064,-61.1928,A04,MOP,Nokia,OA,OA Completado,2021-11-01 13:41:19,2021-11-01 13:38:58,2021-11-01 13:39:05,2021-11-01 13:40:21,2021-11-01 13:40:49,2021-11-01 13:41:19,
26773,A04-S314,Villa Gobernador Galvez 2,HardwareReady850,Sin Asignar,Sin Asignar,Sin Asignar,ZVGGAD,LITO,,ISM-16116,OA,2021-09-14 08:14:00,2021-09-14 08:14:00,2021-09-14 08:35:59,2021-09-14 08:37:00,2021-09-14 08:39:00,,-33.0378,-60.6382,A04,MOP,Nokia,OA,OA Completado,2021-09-14 08:25:07,2021-09-14 08:17:40,2021-09-14 08:17:46,2021-09-14 08:19:06,2021-09-14 08:19:47,2021-09-14 08:25:07,
26776,A04-S319,Rosario Empalme Graneros,HardwareReady850,Sin Asignar,Sin Asignar,Sin Asignar,ZREGRA,LITO,,ISM-16134,OA,2021-09-28 08:37:00,2021-09-28 08:37:00,2021-09-28 19:12:59,2021-09-28 19:14:00,2021-09-28 19:14:00,,-32.9154,-60.6958,A04,MOP,Nokia,OA,OA Completado,2021-09-28 19:14:21,2021-09-28 19:08:36,2021-09-28 19:09:05,2021-09-28 19:10:57,2021-09-28 19:12:26,2021-09-28 19:14:21,
26783,A04-S336,Rosario Country Provincial,HardwareReady850,Sin Asignar,Sin Asignar,Sin Asignar,ZRCPRO,LITO,,ISM-16135,OA,2021-09-22 12:42:59,2021-09-22 12:42:59,2021-09-23 19:09:59,2021-09-23 19:11:00,2021-09-23 19:11:00,,-32.9739,-60.659,A04,MOP,Nokia,OA,OA Completado,2021-09-23 19:42:49,2021-09-23 19:39:04,2021-09-23 19:39:24,2021-09-23 19:40:50,2021-09-23 19:41:41,2021-09-23 19:42:49,
26786,A04-S344,Planta Basf Arroyo Seco,HardwareReady850,Sin Asignar,Sin Asignar,Sin Asignar,ZPBASF,LITO,,ISM-16157,OA,2021-10-27 11:33:59,2021-10-27 11:33:59,2021-10-27 16:21:00,2021-10-27 16:21:59,2021-10-27 16:25:00,,-33.1214,-60.5233,A04,MOP,Nokia,OA,OA Completado,2021-10-29 09:52:42,2021-10-29 09:50:04,2021-10-29 09:50:12,2021-10-29 09:51:27,2021-10-29 09:51:56,2021-10-29 09:52:42,
