intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
24002,A03-S057,Cordoba Cor Luque,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,XCLUQU,MEDI,,ISM-11848,OA,2021-04-23 15:38:59,2021-04-23 19:59:59,2021-05-04 11:41:00,2021-05-07 14:37:59,2021-05-07 19:45:59,,-31.4378,-64.1332,A03,Proveedor,Huawei,OA,OA Completado,2021-05-13 08:55:23,2021-05-07 19:48:46,2021-05-07 19:51:33,2021-05-13 08:54:18,2021-05-13 08:54:46,2021-05-13 08:55:23,
24003,A03-S240,Cordoba 20 De Julio,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,XC20JU,MEDI,,ISM-11849,OA,2021-06-16 12:09:00,2021-06-16 12:18:00,2021-06-16 12:18:59,2021-06-16 13:18:59,2021-06-18 18:47:59,,-31.4096,-64.2685,A03,Proveedor,Huawei,OA,OA Completado,2021-06-18 18:38:21,2021-06-18 18:35:53,2021-06-18 18:36:01,2021-06-18 18:37:11,2021-06-18 18:37:53,2021-06-18 18:38:21,
24004,A03-S242,Cordoba Villa Libertador,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,XCLIBE,MEDI,,ISM-11850,OA,2021-06-07 08:30:59,2021-06-09 10:59:00,2021-06-09 18:09:59,2021-06-10 12:44:00,2021-06-10 17:51:59,,-31.4702,-64.2247,A03,Proveedor,Huawei,OA,OA Completado,2021-06-28 13:09:23,2021-06-28 13:06:01,2021-06-28 13:06:12,2021-06-28 13:07:15,2021-06-28 13:08:16,2021-06-28 13:09:23,
24005,A03-S316,Cordoba Teco Arguello,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,XCTARG,MEDI,,ISM-11851,OA,2021-05-28 09:20:59,2021-05-28 17:03:00,2021-05-28 17:06:59,2021-05-31 10:18:00,2021-06-03 00:29:00,,-31.3478,-64.2503,A03,Proveedor,Huawei,OA,OA Completado,2021-06-03 00:17:34,2021-05-28 16:29:38,2021-05-28 16:30:08,2021-05-28 16:36:13,2021-05-28 16:37:23,2021-06-03 00:17:34,
24006,A03-S664,Cordoba Calingasta,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,XCCALI,MEDI,,ISM-11852,OA,2021-04-29 13:05:59,2021-04-30 14:50:00,2021-04-30 16:14:59,2021-04-30 17:30:59,2021-05-07 12:53:00,,-31.4413,-64.1081,A03,PROVEEDOR,Huawei,OA,OA Completado,2021-05-07 12:42:12,2021-04-30 16:09:06,2021-04-30 16:09:16,2021-04-30 16:09:39,2021-05-05 15:04:44,2021-05-07 12:42:12,
24007,A11-S115,Tucuman 12 De Octubre,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,T12OCT,MEDI,,ISM-11858,OA,2021-06-02 09:22:00,2021-06-02 10:16:59,2021-06-02 10:20:00,2021-06-02 10:48:00,2021-06-03 17:41:00,,-26.8245,-65.2195,A11,Proveedor,Huawei,OA,OA Completado,2021-06-03 18:04:25,2021-05-30 12:24:25,2021-05-30 12:24:46,2021-06-03 18:03:28,2021-06-03 18:03:55,2021-06-03 18:04:25,
24008,A11-S116,Tucuman Campo Norte,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCNORT,MEDI,,ISM-11859,OA,2021-06-25 16:48:59,2021-06-25 17:19:59,2021-06-26 20:37:59,2021-06-29 15:56:00,2021-06-30 12:27:59,,-26.8052,-65.2179,A11,PROVEEDOR,Huawei,OA,OA Completado,2021-06-30 12:16:46,2021-06-29 10:54:11,2021-06-29 11:04:32,2021-06-29 11:05:19,2021-06-29 11:06:21,2021-06-30 12:16:46,
24009,A11-S152,Santiago Abasto,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,GCABAS,MEDI,,ISM-11860,OA,2021-06-28 10:18:00,2021-06-28 14:01:00,2021-06-28 14:03:59,2021-06-28 17:21:00,2021-06-30 18:54:00,,-27.7756,-64.2665,A11,Proveedor,Huawei,OA,OA Completado,2021-06-30 18:42:19,2021-06-26 20:15:24,2021-06-26 20:18:33,2021-06-29 10:48:32,2021-06-29 10:49:06,2021-06-30 18:42:19,
24010,A11-S153,Santiago La Banda Barrio San Martin,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,GCBSMT,MEDI,4581553,ISM-11861,OA,2021-06-09 09:02:00,2021-06-09 10:16:00,2021-06-15 10:41:59,2021-06-15 14:21:00,2021-07-16 11:30:59,,-27.7417,-64.249,A11,Proveedor,Huawei,OA,OA Completado,2021-07-16 11:20:43,2021-06-16 10:46:19,2021-06-16 10:46:38,2021-06-16 10:48:00,2021-06-16 10:50:01,2021-07-16 11:20:43,
24012,A11-S362,Tucuman Frias Silva,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCFSVA,MEDI,,ISM-11863,OA,2021-07-02 14:32:00,2021-07-05 10:48:59,2021-07-06 14:57:00,2021-07-06 16:34:00,2021-07-06 16:57:59,,-26.8325,-65.2269,A11,Proveedor,Huawei,OA,OA Completado,2021-07-06 16:48:17,2021-07-02 10:29:06,2021-07-02 10:29:16,2021-07-06 16:46:48,2021-07-06 16:47:31,2021-07-06 16:48:17,
24013,A11-S379,Tucuman Villa Muñecas,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCVMUN,MEDI,,ISM-11864,OA,2021-06-03 08:55:59,2021-06-03 16:00:00,2021-06-03 17:33:59,2021-06-03 18:35:00,2021-06-07 21:11:59,,,,,Proveedor,Huawei,OA,OA Completado,2021-06-07 21:01:00,2021-06-03 00:24:46,2021-06-03 00:24:57,2021-06-03 00:26:20,2021-06-03 00:27:05,2021-06-07 21:01:00,
24014,A11-S456,Tucuman  Lastenia 2 (Claro),LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCLAS2,MEDI,5078777,ISM-11865,OA,2021-07-26 09:15:59,2021-07-26 12:33:00,2021-07-26 12:33:59,2021-07-26 17:30:59,2021-07-29 16:39:59,,-26.8596,-65.1529,A11,Proveedor,Huawei,OA,OA Completado,2021-07-29 16:27:54,2021-07-25 22:17:44,2021-07-25 22:17:53,2021-07-25 22:19:24,2021-07-25 22:20:27,2021-07-29 16:27:54,
24015,A11-S479,Tucuman Judiciales 2,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCJUD2,MEDI,5338890,ISM-11866,OA,2021-08-02 10:00:00,2021-08-02 14:01:59,2021-08-03 09:29:00,2021-08-03 17:28:00,2021-08-23 09:17:00,,-26.8692,-65.2156,A11,Proveedor,Huawei,OA,OA Completado,2021-08-23 09:05:07,2021-08-02 08:28:58,2021-08-02 08:29:05,2021-08-02 08:30:24,2021-08-03 09:29:15,2021-08-23 09:05:07,
24016,A11-S486,Tucuman San Andres,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCSAND,MEDI,,ISM-11867,OA,2021-05-03 08:39:59,2021-05-03 11:24:59,2021-05-03 11:26:59,2021-05-03 13:50:59,2021-05-05 17:30:00,,-26.8966,-65.1881,A11,Proveedor,Huawei,OA,OA Completado,2021-05-05 17:19:06,2021-04-30 19:41:56,2021-04-30 19:42:06,2021-04-30 19:43:17,2021-05-01 19:50:34,2021-05-05 17:19:06,
24017,A11-S519,Santiago Cabildo 3,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,GCCAB3,MEDI,5592317,ISM-11868,OA,2021-08-23 09:54:00,2021-08-27 16:12:00,2021-08-27 16:25:59,2021-08-27 17:46:00,2021-08-27 18:11:59,,-27.807,-64.2404,A11,Proveedor,Huawei,OA,OA Completado,2021-08-27 18:01:27,2021-08-23 08:40:14,2021-08-23 08:47:34,2021-08-23 08:49:36,2021-08-23 08:50:27,2021-08-27 18:01:27,2021-08-16
24018,A11-S524,Tucuman Banda 9,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCBND9,MEDI,5431444,ISM-11869,OA,2021-08-02 12:20:00,2021-08-02 14:01:59,2021-08-03 09:49:00,2021-08-03 17:30:00,2021-08-09 17:28:00,,-26.8556,-65.1614,A11,Proveedor,Huawei,OA,OA Completado,2021-08-09 17:17:00,2021-08-03 14:23:39,2021-08-03 14:23:47,2021-08-03 14:31:34,2021-08-09 17:16:26,2021-08-09 17:17:00,
24019,A11-S532,Tucuman Alderetes 8 - Busqueda,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCALD8,MEDI,,ISM-11870,OA,2021-05-26 09:11:59,2021-05-26 15:08:00,2021-05-26 15:15:00,2021-05-27 17:51:00,2021-06-01 18:09:00,,,,,Proveedor,Huawei,OA,OA Completado,2021-06-01 17:59:18,2021-05-25 17:28:00,2021-05-27 16:26:21,2021-05-27 16:27:58,2021-05-27 16:32:08,2021-06-01 17:59:18,
24020,A11-S537,Santiago La Banda 8,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,GCLBD8_1,MEDI,5076853,ISM-11871,OA,2021-07-12 13:05:00,2021-07-12 13:09:00,2021-07-12 13:09:59,2021-07-13 11:48:00,2021-07-14 11:37:00,,,,,Proveedor,Huawei,OA,OA Completado,2021-07-14 11:36:36,2021-07-07 15:00:59,2021-07-07 15:01:09,2021-07-14 11:34:20,2021-07-14 11:35:28,2021-07-14 11:36:36,
24021,A11-S681,Tucuman Miguel Lillo,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,TCMLIL,MEDI,5194590,ISM-11872,OA,2021-07-16 08:39:59,2021-07-16 09:17:00,2021-07-16 09:17:00,2021-07-16 12:06:59,2021-07-22 10:03:00,,,,,Proveedor,Huawei,OA,OA Completado,2021-07-22 09:51:29,2021-07-15 19:52:43,2021-07-15 19:53:26,2021-07-15 19:55:13,2021-07-15 19:56:13,2021-07-22 09:51:29,
24022,A21-S003,Jujuy Alto Comedero,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,YCALTO,MEDI,,ISM-11876,OA,2021-07-06 16:59:59,2021-07-12 12:54:59,2021-07-12 12:58:00,2021-07-13 11:46:00,2021-07-13 12:22:00,,-24.2335,-65.2571,A21,Proveedor,Huawei,OA,OA Completado,2021-07-13 14:28:44,2021-07-06 11:02:08,2021-07-06 11:02:30,2021-07-13 14:27:23,2021-07-13 14:28:13,2021-07-13 14:28:44,
24023,A21-S027,Jujuy Las Alpacas,LTE2600+4T4R,Sin Asignar,Sin Asignar,Sin Asignar,YCALPA,MEDI,5489310,ISM-11877,OA,2021-08-13 16:07:59,2021-08-13 16:23:59,2021-08-13 16:27:59,2021-08-24 18:36:00,2021-08-24 18:44:00,,-24.1759,-65.2955,A21,Proveedor,Huawei,OA,OA Completado,2021-08-24 18:32:49,2021-08-13 12:36:35,2021-08-13 12:36:43,2021-08-13 12:41:21,2021-08-23 18:43:48,2021-08-24 18:32:49,2021-08-05
