intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
18511,A43-B446,San Andres De Giles Centro,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BSGICE,SUR,,ISM-9521,OA,2021-08-13 08:53:00,2021-08-13 08:57:59,2021-08-14 12:13:00,2021-08-17 12:42:59,2021-08-17 13:59:00,,-34.4412,-59.4479,A43,MOP,Huawei,OA,OA Completado,2021-08-17 13:48:13,,2021-08-12 09:25:53,2021-08-17 13:47:02,2021-08-17 13:47:28,2021-08-17 13:48:13,
18531,A37-B226,Juan Jose Paso Tasa,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BJJPAS,MEDI,,ISM-13688,OA,2021-04-27 17:28:00,2021-04-27 17:33:59,2021-04-27 20:57:00,2021-05-03 13:48:59,2021-05-03 14:57:59,,-35.8511,-62.2999,A37,MOP,Huawei,OA,OA Completado,2021-05-03 14:52:54,,2021-04-27 15:01:23,2021-04-30 15:27:15,2021-04-30 15:27:49,2021-05-03 14:52:54,
18532,A37-B329,Trenque Lauquen Centro,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BTLCEN,MEDI,,ISM-8302,OA,2021-04-19 15:51:00,2021-04-22 08:53:00,2021-04-22 17:53:00,2021-04-23 09:56:00,2021-05-04 15:18:00,,-35.9717,-62.733,A37,MOP,Huawei,OA,OA Completado,2021-05-04 15:09:12,,2021-05-04 15:07:17,2021-05-04 15:08:15,2021-05-04 15:08:41,2021-05-04 15:09:12,
19338,A43-B510,San Antonio De Areco 2,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BSAAR2,SUR,,ISM-9579,OA,2021-05-13 19:20:00,2021-05-14 09:26:00,2021-05-14 11:42:00,2021-05-14 12:40:59,2021-05-17 17:55:59,,-34.2499,-59.4756,A43,MOP,Huawei,OA,OA Completado,2021-05-17 17:46:17,,2021-05-13 18:52:32,2021-05-14 11:40:58,2021-05-14 11:41:19,2021-05-17 17:46:17,
19347,A41-B256,Las Toninas,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BLTONI,SUR,,ISM-16351,OA,2021-09-23 10:47:00,2021-09-23 10:50:00,2021-09-23 10:52:00,2021-09-23 19:09:59,2021-10-05 10:32:00,,-36.4871,-56.6942,A41,MOP,Huawei,OA,OA Completado,2021-10-05 10:21:49,,2021-09-16 10:27:16,2021-09-23 10:53:59,2021-09-23 10:54:41,2021-10-05 10:21:49,
22395,A43-B011,Pergamino 3,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BPRPR3,SUR,,ISM-12020,OA,2021-03-11 11:15:59,2021-03-11 11:46:00,2021-03-11 14:32:00,2021-03-15 11:57:59,2021-03-17 17:06:00,,-33.8678,-60.5628,A43,MOP,Huawei,OA,OA Completado,2021-03-17 16:56:31,,2021-03-12 14:28:38,2021-03-12 14:29:37,2021-03-12 14:30:02,2021-03-17 16:56:31,
25373,A43-B079,Estacion Capilla Del Señor,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BCSEST,SUR,,ISM-13974,OA,2021-05-20 17:39:59,2021-05-20 17:53:59,2021-05-20 17:55:59,2021-05-20 19:07:59,2021-07-13 16:48:00,,-34.2911,-59.1026,A43,MOP,Huawei,OA,OA Completado,2021-07-13 16:37:01,,2021-05-20 17:17:24,2021-05-20 17:34:16,2021-05-20 17:47:23,2021-07-13 16:37:01,
26701,A33-O105,Las Catitas,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,MMZCAT,MEDI,,ISM-14599,OA,2021-08-04 14:37:59,2021-08-04 17:14:00,2021-08-04 17:15:59,2021-08-05 10:07:00,2021-08-11 13:14:00,,-33.306,-68.0387,A33,MOP,Huawei,OA,OA Completado,2021-08-11 13:01:34,,2021-08-04 17:42:20,2021-08-04 17:43:16,2021-08-04 17:44:07,2021-08-11 13:01:34,
26710,A33-O385,Lavalle Mza,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,MLVNOR,MEDI,,ISM-14601,OA,2021-08-09 09:13:59,2021-08-09 09:40:59,2021-08-10 09:54:59,2021-08-10 10:36:00,2021-08-10 22:50:00,,-32.7167,-68.5814,A33,MOP,Huawei,OA,OA Completado,2021-08-10 22:41:55,,2021-08-10 22:38:21,2021-08-10 22:39:19,2021-08-10 22:40:01,2021-08-10 22:41:55,
26986,A43-B240,Rojas Centro,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BRJCNT,SUR,,ISM-16206,OA,2021-08-27 12:38:59,2021-08-27 18:27:59,2021-08-27 18:31:59,2021-08-30 09:35:00,2021-09-09 09:33:59,,-34.1986,-60.7322,A43,MOP,Huawei,OA,OA Completado,2021-09-09 09:22:40,,2021-08-19 16:00:26,2021-08-19 16:01:45,2021-09-09 09:22:07,2021-09-09 09:22:40,
26987,A43-B769,Buenos Aires Ing Silveyra,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BCHISY,SUR,,ISM-16176,OA,2021-08-24 09:11:00,2021-08-25 10:00:00,2021-08-25 10:02:00,2021-08-25 17:23:00,2021-09-09 09:40:59,,,,,MOP,Huawei,OA,OA Completado,2021-09-09 09:28:48,,2021-08-19 16:07:27,2021-08-19 16:08:51,2021-09-09 09:28:19,2021-09-09 09:28:48,
27779,A43-B603,Todd 2,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BATOD2,SUR,,ISM-16177,OA,2021-08-27 12:33:00,2021-08-27 13:03:00,2021-08-27 13:07:59,2021-08-30 18:06:00,2021-09-02 17:15:59,,-34.0286,-60.1492,A43,MOP,Huawei,OA,OA Completado,2021-09-02 17:02:33,,2021-08-26 14:42:03,2021-08-30 13:56:06,2021-08-30 13:56:27,2021-09-02 17:02:33,
28011,A35-D008,Justo Daract,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,DJDARA,MEDI,,ISM-14603,OA,2021-09-13 10:57:59,2021-09-14 15:22:00,2021-09-14 15:44:00,2021-10-04 18:15:59,2021-10-05 08:30:59,,-33.8589,-65.1814,A35,MOP,Huawei,OA,OA Completado,2021-09-14 15:36:51,,2021-09-10 17:27:44,2021-09-10 17:56:55,2021-09-14 11:38:57,2021-09-14 15:36:51,
28012,A34-J013,Villa Media Agua,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,JSJAGU,MEDI,,ISM-14602,OA,2021-09-13 11:05:00,2021-09-15 07:43:00,2021-09-15 09:26:00,2021-09-15 17:21:59,2021-09-16 18:51:59,,-31.982,-68.4295,A34,MOP,Huawei,OA,OA Completado,2021-09-16 18:49:24,,2021-09-16 18:40:18,2021-09-16 18:41:24,2021-09-16 18:41:59,2021-09-16 18:49:24,
28553,A42-B091,Navarro,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BNAVAR,SUR,,ISM-14592,OA,2021-09-20 14:44:59,2021-09-22 14:15:59,2021-09-22 14:17:59,2021-09-23 19:09:59,2021-10-05 10:45:59,,-35.0091,-59.2818,A42,MOP,Huawei,OA,OA Completado,2021-10-05 10:32:44,,2021-09-20 14:51:52,2021-09-22 14:08:27,2021-09-23 10:00:29,2021-10-05 10:32:44,
29002,A33-O186,Ugarteche A33-O186,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,MMZUGT,MEDI,,ISM-14600,OA,2021-09-21 16:57:59,2021-09-22 09:13:00,2021-09-22 10:45:59,2021-09-23 18:54:00,2021-09-27 10:45:59,,-33.216,-68.8941,A33,MOP,Huawei,OA,OA Completado,2021-09-27 12:51:41,,2021-09-27 12:48:25,2021-09-27 12:49:32,2021-09-27 12:50:06,2021-09-27 12:51:41,
29010,A43-B071,Suipacha,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BSUIPA,SUR,,ISM-16179,OA,2021-10-06 12:54:59,2021-10-18 15:31:59,2021-10-19 11:15:59,2021-10-20 12:47:00,2021-10-25 15:09:59,,-34.7571,-59.6997,A43,MOP,Huawei,OA,OA Completado,2021-10-26 10:21:52,,2021-10-18 15:42:49,2021-10-26 10:20:23,2021-10-26 10:20:58,2021-10-26 10:21:52,
29113,A38-B853,Bajo Hondo Ruta 3,Overlay900,Sin Asignar,Sin Asignar,Sin Asignar,BPABHO,SUR,,ISM-16226,RFA,2021-11-05 09:00:00,2021-11-05 09:40:00,2021-11-05 09:44:00,,,,-38.7744,-62.0189,A38,MOP,Huawei,OA,OA Completado,2021-11-08 15:14:04,,2021-11-04 14:23:59,2021-11-04 15:56:55,2021-11-05 08:08:02,2021-11-08 15:14:04,
