intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
9827,A04-S072,Rosario Aeropuerto,OverlayLTE2600,Sin Asignar,Sin Asignar,Sin Asignar,ZRAERO,LITO,,ISM-14582,OA,2021-08-26 12:20:59,2021-08-26 12:20:59,2021-08-27 15:33:00,2021-09-02 09:40:00,2021-09-08 08:15:59,,-32.9186,-60.7353,A04,MOP,Nokia,OA,OA Completado,2021-09-08 08:09:34,,2021-09-02 09:20:43,2021-09-02 09:21:49,2021-09-02 09:22:22,2021-09-08 08:09:34,
21921,CPU751,Nextel Plaza de Mayo,OverlayLTE2600,Sin Asignar,Sin Asignar,Sin Asignar,CNXPDM,AMBA,,ISM-12345,OA,2021-02-08 08:44:00,2021-02-10 17:37:59,2021-02-11 08:42:00,2021-02-11 16:34:59,2021-02-12 09:58:00,,-34.6078,-58.3726,CPU,MOP,Huawei,OA,OA Completado,2021-02-12 09:48:43,,2021-01-28 15:23:08,2021-02-11 08:37:12,2021-02-11 08:37:37,2021-02-12 09:48:43,
26688,A03-S079,Saldan,OverlayLTE2600,Sin Asignar,Sin Asignar,Sin Asignar,XSALDA,MEDI,,ISM-8265,OA,2021-07-30 09:13:59,2021-08-03 16:12:00,2021-08-06 10:41:00,2021-08-06 13:32:00,2021-08-10 17:53:59,,-31.3091,-64.3014,A03,MOP,Huawei,OA,OA Completado,2021-08-10 17:42:21,,2021-08-03 07:47:17,2021-08-05 16:26:12,2021-08-05 16:26:52,2021-08-10 17:42:21,
26696,A03-S135,La Calera,OverlayLTE2600,Sin Asignar,Sin Asignar,Sin Asignar,XLACAL,MEDI,,ISM-8268,OA,2021-08-04 08:37:59,2021-08-05 15:20:59,2021-08-05 15:22:59,2021-08-05 15:29:00,2021-08-26 10:59:59,,-31.3453,-64.3348,A03,MOP,Huawei,OA,OA Completado,2021-08-26 10:45:22,,2021-08-03 16:26:32,2021-08-03 16:55:58,2021-08-05 15:12:58,2021-08-26 10:45:22,
26707,A21-S035,San Lorenzo,OverlayLTE2600,Sin Asignar,Sin Asignar,Sin Asignar,ASLORE,MEDI,,ISM-14597,OA,2021-08-06 09:18:59,2021-08-06 10:45:59,2021-08-06 10:50:00,2021-08-06 18:27:00,2021-08-31 08:44:59,,-24.7305,-65.493,A21,MOP,Huawei,OA,OA Completado,2021-08-31 08:31:58,,2021-08-06 17:46:18,2021-08-06 17:47:18,2021-08-10 09:20:11,2021-08-31 08:31:58,
27970,A03-S749,Alta Gracia Tajamar,OverlayLTE2600,Sin Asignar,Sin Asignar,Sin Asignar,XALTAJ,MEDI,,ISM-16210,OA,2021-08-31 16:59:00,2021-08-31 17:03:00,2021-09-01 10:32:00,2021-09-01 13:29:00,2021-09-01 14:39:00,,-31.6564,-64.4341,A03,MOP,Huawei,OA,OA Completado,2021-09-01 14:30:03,,2021-09-01 14:27:19,2021-09-01 14:28:40,2021-09-01 14:29:11,2021-09-01 14:30:03,
28002,A01-S034,Laboulaye Central,OverlayLTE2600,Sin Asignar,Sin Asignar,Sin Asignar,XLABCE,MEDI,,ISM-14591,OA,2021-09-03 08:57:00,2021-09-07 16:12:00,2021-09-08 16:03:59,2021-09-10 18:04:00,2021-09-14 11:42:59,,-34.1275,-63.3897,A01,MOP,Huawei,OA,OA Completado,2021-09-08 15:49:50,,2021-09-03 16:38:40,2021-09-03 16:41:48,2021-09-03 16:45:26,2021-09-08 15:49:50,
28004,A06-S164,Frontera CableVision,OverlayLTE2600,Sin Asignar,Sin Asignar,Sin Asignar,ZFRCVI,MEDI,,ISM-16147,OA,2021-09-09 11:28:00,2021-09-14 10:57:00,2021-09-14 11:42:00,2021-10-04 18:15:59,2021-10-05 08:32:00,,-31.4361,-62.0571,A06,MOP,Huawei,OA,OA Completado,2021-09-14 11:26:48,,2021-09-08 17:13:47,2021-09-08 17:14:43,2021-09-14 11:25:47,2021-09-14 11:26:48,
28006,A06-S006,San Francisco Central,OverlayLTE2600,Sin Asignar,Sin Asignar,Sin Asignar,XSFCEN,MEDI,,ISM-14594,OA,2021-09-09 09:13:59,2021-09-14 14:44:00,2021-09-14 18:38:59,2021-09-16 18:08:00,2021-09-17 09:53:00,,-31.4309,-62.0842,A06,MOP,Huawei,OA,OA Completado,2021-09-17 09:41:13,,2021-09-14 18:23:32,2021-09-14 18:24:46,2021-09-17 09:40:25,2021-09-17 09:41:13,
29030,A03-S068,Rio Tercero,OverlayLTE2600,Sin Asignar,Sin Asignar,Sin Asignar,XRTERC,MEDI,,ISM-14596,OA,2021-10-04 08:55:00,2021-10-05 09:29:59,2021-10-05 09:33:59,2021-10-05 18:04:00,2021-10-05 19:00:00,,-32.175,-64.1136,A03,MOP,Huawei,OA,OA Completado,2021-10-07 14:54:53,,2021-10-07 14:51:52,2021-10-07 14:53:04,2021-10-07 14:53:50,2021-10-07 14:54:53,
