intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
21994,A10-S006,Corral Quemado,SatelitalModernizacion,Sin Asignar,Sin Asignar,Sin Asignar,KQCSAT,MEDI,,ISM-12382,OA,2021-03-02 15:27:59,2021-03-02 17:24:59,2021-03-02 18:08:00,2021-03-12 16:43:59,2021-03-16 18:08:00,,-27.142,-66.9447,A10,MOP,Huawei,OA,OA Completado,2021-03-16 18:03:18,,2021-03-12 16:07:50,2021-03-12 16:08:10,2021-03-16 17:59:50,2021-03-16 18:03:18,
22479,A21-S390,San Francisco,SatelitalModernizacion,Sin Asignar,Sin Asignar,Sin Asignar,YSFSST,MEDI,,ISM-8659,OA,2021-03-25 16:30:00,2021-03-29 12:00:00,2021-03-29 12:58:59,2021-03-31 09:42:59,2021-04-05 17:53:59,,-23.6248,-64.953,A21,MOP,Huawei,OA,OA Completado,2021-04-05 18:51:18,2021-03-29 11:36:52,2021-03-29 11:37:45,2021-03-29 12:50:16,2021-03-30 22:32:15,2021-04-05 18:51:18,
24201,A21-S069,Sijes,SatelitalModernizacion,Sin Asignar,Sin Asignar,Sin Asignar,ASIJES,MEDI,,ISM-8662,OA,2021-06-28 10:02:00,2021-07-05 11:01:59,2021-07-05 20:53:59,2021-07-06 11:55:00,2021-07-06 14:17:59,,-24.6139,-66.671,A21,MOP,Huawei,OA,OA Completado,2021-07-06 14:05:41,,2021-06-30 16:14:38,2021-06-30 16:14:48,2021-07-05 20:40:44,2021-07-06 14:05:41,
24202,A21-S053,Mina Pirquitas,SatelitalModernizacion,Sin Asignar,Sin Asignar,Sin Asignar,YPIRST,MEDI,,ISM-8661,OA,2021-06-04 12:29:00,2021-06-22 11:24:00,2021-06-22 16:36:59,2021-06-24 11:28:59,2021-06-25 11:21:59,,-22.7001,-66.4956,A21,MOP,Huawei,OA,OA Completado,2021-06-23 21:08:22,,2021-06-03 09:07:13,2021-06-03 09:07:24,2021-06-22 16:21:53,2021-06-23 21:08:22,
24203,A21-S161,Mina Tincalayu,SatelitalModernizacion,Sin Asignar,Sin Asignar,Sin Asignar,ATINST,MEDI,,ISM-8657,OA,2021-06-22 10:18:00,2021-06-23 13:14:59,2021-06-28 22:39:59,2021-06-30 13:34:00,2021-06-30 14:55:00,,-25.2698,-67.0464,A21,MOP,Huawei,OA,OA Completado,2021-06-30 14:43:48,,2021-06-28 22:25:00,2021-06-28 22:25:14,2021-06-30 14:43:11,2021-06-30 14:43:48,
24204,A21-S313,Valle Grande,SatelitalModernizacion,Sin Asignar,Sin Asignar,Sin Asignar,YGRAST,MEDI,,ISM-8658,OA,2021-03-31 15:40:00,2021-03-31 18:38:59,2021-04-01 10:30:00,2021-07-15 16:09:59,2021-07-15 22:05:00,,-23.4769,-64.947,A21,MOP,Huawei,OA,OA Completado,2021-07-15 21:52:33,,2021-04-07 13:54:54,2021-07-15 12:59:05,2021-07-15 12:59:17,2021-07-15 21:52:33,
24205,A23-S017,Los Toldos,SatelitalModernizacion,Sin Asignar,Sin Asignar,Sin Asignar,ATOLST,MEDI,,ISM-8660,OA,2021-05-13 08:30:59,2021-05-14 15:13:00,2021-05-14 15:15:00,2021-05-14 16:16:00,2021-05-17 16:36:59,,-22.2802,-64.7003,A23,MOP,Huawei,OA,OA Completado,2021-05-21 11:22:38,,2021-05-13 16:33:11,2021-05-13 16:33:23,2021-05-14 15:14:32,2021-05-21 11:22:38,
24206,A21-S058,Santa Victoria Oeste,SatelitalModernizacion,Sin Asignar,Sin Asignar,Sin Asignar,ASVIST,MEDI,,ISM-8656,OA,2021-04-28 11:30:59,2021-05-04 16:23:59,2021-05-04 17:48:00,2021-05-05 14:37:00,2021-05-07 21:18:00,,-22.2513,-64.9722,A21,MOP,Huawei,OA,OA Completado,2021-05-07 21:06:41,,2021-05-04 14:49:54,2021-05-04 14:50:06,2021-05-04 14:54:10,2021-05-07 21:06:41,
24212,A21-S054,Susques,SatelitalModernizacion,Sin Asignar,Sin Asignar,Sin Asignar,YSUSST,MEDI,,ISM-8719,OA,2021-04-07 11:46:59,2021-04-07 11:55:59,2021-04-09 13:11:00,2021-04-23 09:54:59,2021-05-21 12:17:00,,-23.3981,-66.366,A21,MOP,Huawei,OA,OA Completado,2021-05-21 12:05:49,,2021-04-09 13:00:23,2021-04-09 13:00:30,2021-04-22 13:43:45,2021-05-21 12:05:49,
25377,A21-S151,Paso De Jama,SatelitalModernizacion,Sin Asignar,Sin Asignar,Sin Asignar,YPJAST,MEDI,,ISM-8654,OA,2021-05-19 10:54:59,2021-05-21 11:24:00,2021-05-21 12:02:00,2021-05-26 12:51:59,2021-05-27 13:05:59,,-23.2375,-67.0231,A21,MOP,Huawei,OA,OA Completado,2021-05-27 12:54:29,,2021-05-26 11:49:57,2021-05-26 11:50:06,2021-05-26 11:50:13,2021-05-27 12:54:29,
