intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
10700,A04-S256,Villa Sauze,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,BVSAUZ,LITO,,ISM-16303,OA,2021-10-06 14:30:00,2021-10-06 14:30:59,2021-10-07 14:42:59,2021-10-07 18:04:59,2021-10-15 09:49:00,,-35.2837,-63.3712,A04,MOP,Nokia,OA,OA Completado,2021-10-15 09:34:57,2021-10-05 17:51:20,2021-10-05 17:51:47,2021-10-07 16:00:14,2021-10-07 16:03:20,2021-10-15 09:34:57,
10758,A36-F003,Santa Rosa Este,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,LSRSRE,MEDI,,ISM-13700,OA,2021-04-28 10:59:00,2021-04-28 18:15:00,2021-04-28 18:18:00,2021-04-29 15:22:59,2021-04-30 12:27:59,,-36.6289,-64.2682,A36,MOP,Huawei,OA,OA Completado,2021-04-30 12:24:48,2021-04-29 09:00:38,2021-04-29 09:01:40,2021-04-29 09:03:19,2021-04-30 12:23:13,2021-04-30 12:24:48,
10829,A41-B178,Playa Chapadmalal,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,BPCHAP,SUR,,ISM-12358,OA,2021-02-01 17:55:59,2021-02-02 09:56:59,2021-02-02 10:09:59,2021-02-03 11:17:59,2021-02-03 16:21:59,,-38.1584,-57.6318,A41,MOP,Huawei,OA,OA Completado,2021-02-03 16:14:22,2021-01-27 18:23:51,2021-01-27 18:24:19,2021-01-29 09:58:14,2021-02-03 16:12:58,2021-02-03 16:14:22,
10996,SPU283,Zeballos,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,SZEB,AMBA,,ISM-9009,OA,2021-01-07 14:19:00,2021-01-08 12:04:00,2021-01-12 14:23:00,2021-01-12 17:15:59,2021-02-04 17:28:00,,-34.8046,-58.2406,SPU,MOP,Huawei,OA,OA Completado,2021-02-04 17:24:41,2021-01-08 12:02:52,2021-01-08 12:05:30,2021-02-04 17:10:37,2021-02-04 17:12:08,2021-02-04 17:24:41,
11084,A07-S015,Sa Pereyra,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,ZSAPER,LITO,,ISM-15990,OA,2021-08-03 11:46:00,2021-08-03 11:46:59,2021-08-03 15:00:00,2021-08-03 18:17:00,2021-08-25 10:36:59,,-31.5714,-61.3764,A07,MOP,Nokia,OA,OA Completado,2021-08-25 10:24:28,2021-08-03 15:11:22,2021-08-03 15:11:53,2021-08-03 15:30:56,2021-08-03 15:32:31,2021-08-25 10:24:28,
11133,A33-O040,Potrerillos,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,MMZPOT,MEDI,,ISM-14623,OA,2021-08-10 12:29:00,2021-08-10 15:33:00,2021-08-10 15:33:59,2021-08-10 18:11:00,2021-08-18 11:24:59,,-32.9602,-69.1979,A33,MOP,Huawei,OA,OA Completado,2021-08-18 15:05:46,2021-08-09 18:02:49,2021-08-09 18:03:21,2021-08-09 18:05:03,2021-08-10 15:48:44,2021-08-18 15:05:46,
15376,A33-O238,Mendoza Las Heras Punta De Vacas,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,MLHPDV,MEDI,,ISM-14625,OA,2021-08-17 15:06:59,2021-08-17 15:38:59,2021-08-17 17:06:00,2021-08-18 14:21:00,2021-09-20 11:50:00,HW-A,-32.8646,-69.7739,A33,MOP,Huawei,OA,OA Completado,2021-09-20 11:37:09,2021-08-17 10:25:24,2021-08-17 10:26:22,2021-08-19 09:49:23,2021-09-14 11:19:45,2021-09-20 11:37:09,
21786,A36-F036,Telen,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,FLVSAT,MEDI,,ISM-9671,OA,2021-01-06 10:27:59,2021-01-14 09:09:59,2021-01-14 09:33:00,2021-02-01 17:42:59,2021-02-05 16:38:00,,,,,MOP,Huawei,OA,OA Completado,2021-01-27 13:48:06,,2021-01-26 11:45:48,2021-01-26 11:46:32,2021-01-26 11:46:52,2021-01-27 13:48:06,
21834,CPU268,Juramento 2,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,CJR2,AMBA,,ISM-9673,OA,2020-12-23 23:50:00,2020-12-28 15:02:00,2021-04-19 18:06:00,2021-04-23 17:42:00,2021-04-26 09:20:59,,-34.5615,-58.4575,CPU,MOP,Huawei,OA,OA Completado,2021-04-26 13:02:47,2021-04-26 12:55:59,2021-04-26 12:56:31,2021-04-26 12:58:41,2021-04-26 12:59:35,2021-04-26 13:02:47,
21980,A27-U010,Playa Union,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,UPLUNI,SUR,,ISM-9882,OA,2021-02-19 12:54:59,2021-02-19 12:58:59,2021-02-19 13:00:59,2021-02-19 18:29:59,2021-02-23 10:11:00,,-43.3183,-65.0481,A27,MOP,Huawei,OA,OA Completado,2021-02-23 10:01:26,2021-02-22 12:28:44,2021-02-22 12:29:20,2021-02-22 12:31:32,2021-02-22 12:33:05,2021-02-23 10:01:26,
22450,A06-S051,San Francisco Parque Industrial,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,XSFPIN,MEDI,,ISM-12381,OA,2021-03-19 10:29:00,2021-03-19 16:34:59,2021-03-19 17:33:00,2021-03-19 23:15:59,2021-03-22 09:17:00,,-31.43,-62.1041,A06,MOP,Huawei,OA,OA Completado,2021-03-22 09:39:32,2021-03-22 09:34:25,2021-03-22 09:34:55,2021-03-22 09:36:52,2021-03-22 09:38:26,2021-03-22 09:39:32,
25308,A03-S111,Cordoba Zoologico,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,XCZOOL,MEDI,,ISM-13802,OA,2021-05-10 12:20:59,2021-05-11 14:30:00,2021-05-17 16:23:00,2021-05-17 18:02:59,2021-06-04 17:06:59,,-31.4241,-64.1783,A03,MOP,Huawei,OA,OA Completado,2021-05-17 16:44:29,2021-05-17 16:06:26,2021-05-17 16:07:39,2021-05-17 16:11:41,2021-05-17 16:13:29,2021-05-17 16:44:29,
25698,A08-S053,Villa Del Rosario,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,EVDROS,LITO,,ISM-14622,OA,2021-06-08 09:22:00,2021-06-08 09:24:00,2021-06-08 16:00:00,2021-06-08 18:40:00,2021-06-09 09:22:00,,-30.7978,-57.9157,A08,MOP,Nokia,OA,OA Completado,2021-06-09 15:27:06,2021-06-09 15:21:18,2021-06-09 15:22:02,2021-06-09 15:25:24,2021-06-09 15:26:21,2021-06-09 15:27:06,
26706,A33-O046,Los Penitentes,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,MMZPEN,MEDI,,ISM-14624,OA,2021-08-09 09:02:59,2021-08-09 11:17:59,2021-08-09 11:19:59,2021-08-10 10:34:59,2021-08-10 15:04:59,,-32.8408,-69.8436,A33,MOP,Huawei,OA,OA Completado,2021-08-10 14:55:04,2021-08-06 15:53:39,2021-08-06 15:54:04,2021-08-06 16:01:42,2021-08-10 14:53:31,2021-08-10 14:55:04,
28045,A43-S003,Wheelwrigth,Swap-Modernizacion,Sin Asignar,Sin Asignar,Sin Asignar,ZWHEEL,SUR,,ISM-17273,OA,2021-11-10 16:02:00,2021-11-10 16:16:59,2021-11-10 16:48:00,2021-11-11 17:46:00,2021-11-12 12:18:00,,-33.7858,-61.215,A43,MOP,Huawei,OA,OA Completado,2021-11-12 12:08:55,2021-11-04 17:56:19,2021-11-04 18:21:05,2021-11-12 12:07:33,2021-11-12 12:08:24,2021-11-12 12:08:55,
